Collège Grange;           ;    ;7:08;    ;    ;    ;7:46;8:03;8:52;9:30 ;10:25;11:15;11:40;     ;     ;12:07;     ;     ;     ;13:08;13:31;13:53;14:24;     ;     ;15:49;16:09;     ;     ;     ;17:08;17:44;18:08;18:53;19:28;     
Bon Accueil;              ;    ;7:09;    ;    ;    ;7:48;8:04;8:53;9:31 ;10:26;11:16;11:41;     ;     ;12:09;     ;     ;     ;13:09;13:32;13:54;14:25;     ;     ;15:50;16:10;     ;     ;     ;17:10;17:46;18:09;18:54;19:29;     
La Réclusière             ;    ;7:10;    ;    ;    ;7:49;8:05;8:54;9:32 ;10:27;11:17;11:42;     ;     ;12:10;     ;     ;     ;13:10;13:33;13:55;14:26;     ;     ;15:51;16:11;     ;     ;     ;17:11;17:47;18:10;18:55;19:30;     
Les Charavelles           ;    ;7:11;    ;    ;    ;7:51;8:06;8:54;9:32 ;10:27;11:17;11:42;     ;     ;12:12;     ;     ;     ;13:10;13:34;13:56;14:27;     ;     ;15:52;16:12;     ;     ;     ;17:13;17:49;18:11;18:55;19:30;     
Jean Jaurès               ;    ;7:12;    ;    ;    ;7:52;8:07;8:55;9:33 ;10:28;11:18;11:43;     ;     ;12:13;     ;     ;     ;13:11;13:35;13:57;14:28;     ;     ;15:53;16:13;     ;     ;     ;17:14;17:50;18:12;18:56;19:31;     
Place d'Arpot             ;    ;7:13;    ;    ;    ;7:53;8:08;8:56;9:34 ;10:29;11:19;11:44;     ;     ;12:14;     ;     ;     ;13:12;13:36;13:58;14:29;     ;     ;15:54;16:14;     ;     ;     ;17:15;17:51;18:13;18:57;19:32;    
Diderot                   ;    ;7:14;    ;    ;    ;7:54;8:09;8:57;9:35 ;10:30;11:20;11:45;     ;     ;12:15;     ;     ;     ;13:13;13:37;13:59;14:30;     ;     ;15:55;16:15;     ;     ;     ;17:16;17:52;18:14;18:58;19:33;     
Jeu de Paume              ;    ;7:17;    ;    ;    ;7:57;8:12;9:00;9:38 ;10:33;11:23;11:48;     ;     ;12:18;     ;     ;     ;13:16;13:40;14:02;14:33;     ;     ;15:58;16:18;     ;     ;     ;17:19;17:55;18:17;19:01;19:36;     
Jardin de Ville           ;    ;7:19;    ;    ;    ;7:59;8:14;9:02;9:40 ;10:35;11:25;11:50;     ;     ;12:20;     ;     ;     ;13:18;13:42;14:04;14:35;     ;     ;16:00;16:20;     ;     ;     ;17:21;17:57;18:19;19:03;19:38;    
Gare de Vienne A          ;    ;7:27;    ;    ;    ;8:08;8:22;9:08;9:46 ;10:41;11:31;11:56;     ;     ;12:27;     ;     ;     ;13:24;13:50;14:12;14:43;     ;     ;16:08;16:28;     ;     ;     ;17:30;18:04;18:27;19:09;19:44;     
Gare de Vienne D          ;6:47;    ;    ;    ;7:37;8:10;8:29;9:10;9:46 ;10:44;11:31;11:56;     ;12:06;     ;12:31;12:44;     ;13:26;14:00;     ;14:45;15:13;     ;16:10;     ;16:45;     ;17:10;17:45;18:08;18:38;19:11;19:46;20:15
Lycée E. Fitzgerald       ;    ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:05;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     
