Perrière                        ;    ;    ;    ;    ;7:05;    ;8:18;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     
Le Village                      ;    ;    ;    ;    ;7:07;    ;8:20;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;13:07;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     
Le Bois Balay                   ;    ;    ;    ;    ;7:08;    ;8:21;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;13:08;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     
Estrablin le Pinay              ;    ;    ;    ;    ;7:09;    ;8:22;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;13:10;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     
Tabourette Routier              ;    ;    ;    ;    ;7:10;    ;8:23;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;13:11;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     
Estrablin Bréguet               ;    ;    ;    ;    ;7:12;    ;8:25;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;13:13;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     
Z.A. de Montplaisir Calor       ;    ;    ;    ;    ;7:13;    ;8:26;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;13:14;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     
Lycée E.Fitzgerald              ;    ;    ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;12:05;12:10;     ;     ;     ;     ;     ;     ;     ;16:02;     ;     ;     ;     ;17:03;     ;18:00;     
Frèrejean                       ;    ;    ;    ;    ;7:13;    ;8:26;    ;    ;     ;     ;     ;     ;     ;     ;12:31;12:30;     ;13:14;     ;     ;     ;     ;     ;16:36;     ;     ;     ;     ;17:30;     ;18:26;     
L'Abbaye                        ;    ;    ;    ;    ;7:15;    ;8:27;    ;    ;     ;     ;     ;     ;     ;     ;12:31;12:30;     ;13:15;     ;     ;     ;     ;     ;16:37;     ;     ;     ;     ;17:31;     ;18:26;     
Malissol La Gère                ;5:57;6:29;    ;    ;    ;7:59;    ;    ;8:48;9:38 ;     ;11:03;     ;     ;     ;     ;     ;12:53;     ;     ;13:47;14:17;15:05;15:33;     ;16:27;     ;17:03;17:20;     ;     ;     ;     
Rond-Point Malissol             ;5:57;6:29;    ;    ;7:16;7:59;8:28;    ;8:48;9:38 ;     ;11:03;     ;     ;     ;12:32;12:31;12:53;13:16;     ;13:47;14:17;15:05;15:33;16:38;16:27;     ;17:03;17:20;17:31;18:06;18:27;18:50
Nicolas Chorier                 ;    ;    ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:10;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     
Les Cèdres                      ;5:59;6:31;6:53;7:02;7:17;8:01;8:29;    ;8:50;9:40 ;     ;11:05;     ;12:15;12:23;12:33;12:32;12:55;13:17;     ;13:49;14:19;15:07;15:35;16:39;16:29;     ;17:05;17:22;17:33;18:07;18:28;18:52
L'Horloge                       ;6:00;6:32;6:54;7:04;7:19;8:03;8:31;    ;8:52;9:41 ;     ;11:06;     ;12:16;12:25;12:34;12:33;12:56;13:18;     ;13:50;14:20;15:08;15:36;16:40;16:30;     ;17:06;17:23;17:34;18:09;18:29;18:53
Malissol La Ferme               ;6:00;6:32;6:54;7:05;7:20;8:04;8:32;    ;8:53;9:41 ;     ;11:06;     ;12:17;12:26;12:34;12:33;12:56;13:18;     ;13:50;14:20;15:08;15:36;16:40;16:30;     ;17:06;17:23;17:34;18:10;18:29;18:53
Les Hameaux de Malissol         ;6:01;6:33;6:55;7:06;7:21;8:05;8:33;    ;8:54;9:42 ;     ;11:07;     ;12:17;12:27;12:35;12:34;12:57;13:19;     ;13:51;14:21;15:09;15:37;16:40;16:31;     ;17:07;17:24;17:35;18:11;18:30;18:54
Les Hauts de Malissol           ;6:01;6:33;6:55;7:06;7:22;8:05;8:33;    ;8:54;9:42 ;     ;11:07;     ;     ;12:27;     ;     ;12:57;13:19;     ;13:51;14:21;15:09;15:37;     ;16:31;     ;17:07;17:24;     ;18:11;     ;18:54     
