Perrière                  ;    ;    ;    ;    ;7:05;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;
Le Village                ;    ;    ;    ;    ;7:07;    ;    ;    ;     ;     ;     ;     ;13:07;     ;     ;     ;     ;     ;     ;     ;     ;     
Le Bois Balay             ;    ;    ;    ;    ;7:08;    ;    ;    ;     ;     ;     ;     ;13:08;     ;     ;     ;     ;     ;     ;     ;     ;     
Estrablin le Pinay        ;    ;    ;    ;    ;7:09;    ;    ;    ;     ;     ;     ;     ;13:10;     ;     ;     ;     ;     ;     ;     ;     ;     
Tabourette Routier        ;    ;    ;    ;    ;7:10;    ;    ;    ;     ;     ;     ;     ;13:11;     ;     ;     ;     ;     ;     ;     ;     ;     
Estrablin Bréguet         ;    ;    ;    ;    ;7:12;    ;    ;    ;     ;     ;     ;     ;13:13;     ;     ;     ;     ;     ;     ;     ;     ;     
Z.A. de Montplaisir Calor ;    ;    ;    ;    ;7:13;    ;    ;    ;     ;     ;     ;     ;13:14;     ;     ;     ;     ;     ;     ;     ;     ;     
Frèrejean                 ;    ;    ;    ;    ;7:13;    ;    ;    ;     ;     ;     ;     ;13:14;     ;     ;     ;     ;     ;     ;     ;     ;     
L'Abbaye                  ;    ;    ;    ;    ;7:14;    ;    ;    ;     ;     ;     ;     ;13:15;     ;     ;     ;     ;     ;     ;     ;     ;     
Malissol La Gère          ;5:57;6:29;    ;    ;    ;7:59;    ;8:48;9:38 ;11:03;     ;12:53;     ;13:47;14:17;15:05;15:33;16:27;17:03;17:20;     ;     
Rond-Point Malissol       ;5:57;6:29;    ;    ;7:15;7:59;    ;8:48;9:38 ;11:03;     ;12:53;13:16;13:47;14:17;15:05;15:33;16:27;17:03;17:20;18:06;18:50
Les Cèdres                ;5:59;6:31;6:53;7:02;7:16;8:01;    ;8:50;9:40 ;11:05;12:23;12:55;13:17;13:49;14:19;15:07;15:35;16:29;17:05;17:22;18:07;18:52
L'Horloge                 ;6:00;6:32;6:54;7:04;7:18;8:03;    ;8:52;9:41 ;11:06;12:25;12:56;13:18;13:50;14:20;15:08;15:36;16:30;17:06;17:23;18:09;18:53
Malissol La Ferme         ;6:00;6:32;6:54;7:05;7:19;8:04;    ;8:53;9:41 ;11:06;12:26;12:56;13:18;13:50;14:20;15:08;15:36;16:30;17:06;17:23;18:10;18:53
Les Hameaux de Malissol   ;6:01;6:33;6:55;7:06;7:20;8:05;    ;8:54;9:42 ;11:07;12:27;12:57;13:19;13:51;14:21;15:09;15:37;16:31;17:07;17:24;18:11;18:54
Les Hauts de Malissol     ;6:01;6:33;6:55;7:06;7:20;8:05;    ;8:54;9:42 ;11:07;12:27;12:57;13:19;13:51;14:21;15:09;15:37;16:31;17:07;17:24;18:11;18:54
Saint Ignace              ;6:02;6:34;6:56;7:07;7:21;8:06;    ;8:55;9:43 ;11:08;12:28;12:58;13:20;13:52;14:22;15:10;15:38;16:32;17:08;17:25;18:12;18:55
Jean Monnet               ;6:02;6:34;6:56;7:08;7:22;8:07;    ;8:56;9:43 ;11:08;12:29;12:58;13:20;13:52;14:22;15:10;15:38;16:32;17:08;17:25;18:12;18:55
Collonge                  ;6:03;6:35;6:57;7:09;7:23;8:08;    ;8:57;9:44 ;11:09;12:30;12:59;13:21;13:53;14:23;15:11;15:39;16:33;17:09;17:26;18:13;18:56
