Stade de Malissol         ;6:13;    ;7:10;    ;7:54;9:02;    ;9:44 ;     ;10:14;11:09;     ;12:25;     ;13:24;13:39;14:32;15:41;     ;16:20;17:00;     ;17:44;18:19;1927:
Malissol Victor Hugo      ;6:13;    ;7:10;    ;7:54;9:02;    ;9:44 ;     ;10:14;11:09;     ;12:25;     ;13:24;13:39;14:32;15:41;     ;16:20;17:00;     ;17:44;18:19;19:27
Les Hameaux de Malissol  ;6:14;    ;7:11;    ;7:55;9:03;    ;9:45 ;     ;10:15;11:10;     ;12:26;     ;13:25;13:40;14:33;15:42;     ;16:21;17:01;     ;17:45;18:20;19:28
Malissol La Ferme         ;6:15;    ;7:12;    ;7:56;9:04;    ;9:46 ;     ;10:16;11:11;     ;12:27;     ;13:25;13:41;14:34;15:43;     ;16:22;17:02;     ;17:46;18:21;19:29
L'Horloge                 ;6:15;    ;7:12;    ;7:56;9:05;    ;9:46 ;     ;10:16;11:11;     ;12:27;     ;13:26;13:41;14:34;15:43;     ;16:22;17:03;     ;17:46;18:21;19:29
Les Cèdres                ;6:16;    ;7:13;    ;7:57;9:06;    ;9:47 ;     ;10:17;11:12;     ;12:28;     ;13:27;13:42;14:35;15:44;     ;16:23;17:04;     ;17:47;18:22;19:30
Rond-Point Malissol       ;6:17;    ;7:14;    ;7:58;9:07;    ;9:48 ;     ;10:18;11:13;     ;12:29;     ;13:28;13:43;14:36;15:45;     ;16:24;17:06;     ;17:48;18:23;19:31
L'Abbaye                  ;6:18;    ;7:15;    ;7:59;9:08;    ;9:49 ;     ;10:29;11:14;     ;12:30;     ;13:29;13:44;14:37;15:46;     ;16:25;17:08;     ;17:49;18:24;19:32
Frèrejean                 ;6:19;    ;7:16;    ;8:00;9:09;    ;9:50 ;     ;10:20;11:15;     ;12:31;     ;13:30;13:45;14:38;15:47;     ;16:26;17:09;     ;17:50;18:25;19:33
Z.A de Montplaisir        ;6:19;    ;7:16;    ;8:00;9:10;    ;9:50 ;     ;10:20;11:15;     ;12:31;     ;13:30;13:45;14:38;15:47;     ;16:26;17:09;     ;17:50;18:25;19:33
Champ de Course           ;6:20;    ;7:17;    ;8:01;9:11;    ;9:51 ;     ;10:21;11:16;     ;12:32;     ;13:31;13:46;14:39;15:48;     ;16:27;17:10;     ;17:51;18:26;19:34
La Feyta                  ;6:21;    ;7:18;    ;8:02;9:12;    ;9:52 ;     ;10:22;11:17;     ;12:33;     ;13:32;13:47;14:40;15:49;     ;16:28;17:11;     ;17:52;18:27;19:35
Plan des Aures            ;6:22;    ;7:19;    ;8:03;9:13;    ;9:53 ;     ;10:23;11:18;     ;12:34;     ;13:33;13:48;14:41;15:50;     ;16:29;17:12;     ;17:53;18:28;19:36
Les Gentianes             ;6:23;    ;7:20;    ;8:04;9:14;    ;9:54 ;     ;10:24;11:19;     ;12:35;     ;13:34;13:49;14:42;15:51;     ;16:30;17:13;     ;17:54;18:29;19:37
Les Mésanges              ;6:24;    ;7:21;    ;8:05;9:15;    ;9:55 ;     ;10:25;11:20;     ;12:36;     ;13:35;13:50;14:43;15:52;     ;16:31;17:14;     ;17:55;18:30;19:38
Centre Pont-Evêque        ;6:25;    ;7:22;    ;8:06;9:16;    ;9:56 ;     ;10:26;11:21;     ;12:37;     ;13:36;13:51;14:44;15:53;     ;16:32;17:15;     ;17:56;18:31;19:39
Les Bleuets               ;6:26;    ;7:23;    ;8:07;9:17;    ;9:57 ;     ;10:27;11:22;     ;12:38;     ;13:37;13:52;14:45;15:54;     ;16:33;17:16;     ;17:57;18:32;19:40
Les Forges                ;6:26;    ;7:23;    ;8:07;9:17;    ;9:57 ;     ;10:27;11:22;     ;12:38;     ;13:37;13:52;14:45;15:54;     ;16:33;17:16;     ;17:57;18:32;19:40
La Véga                   ;6:27;    ;7:24;    ;8:08;9:18;    ;9:58 ;     ;10:28;11:23;     ;12:39;     ;13:38;13:53;14:46;15:55;     ;16:34;17:17;     ;17:58;18:33;19:41
Roncevaux                 ;6:29;    ;7:26;    ;8:10;9:20;    ;10:00;     ;10:30;11:25;     ;12:41;     ;13:40;13:55;14:48;15:57;     ;16:35;17:19;     ;18:00;18:35;19:43
Charlemangne              ;6:30;    ;7:27;    ;8:11;9:21;    ;10:01;     ;10:31;11:26;     ;12:42;     ;13:41;13:56;14:49;15:58;     ;16:37;17:20;     ;18:01;18:36;19:44
La Ravat                  ;6:31;    ;7:30;    ;8:14;9:22;    ;10:02;     ;10:32;11:27;     ;12:44;     ;13:42;13:57;14:50;15:59;     ;16:38;17:22;     ;18:02;18:37;19:45
Nicolas Chorier           ;6:33;    ;7:33;    ;8:17;9:24;    ;10:04;     ;10:34;11:29;     ;12:46;     ;13:44;13:59;14:52;16:01;     ;16:40;17:24;     ;18:04;18:39;19:47
Temple de Cybèle          ;6:34;    ;7:34;    ;8:18;9:25;    ;10:05;     ;10:35;11:30;     ;12:47;     ;13:45;14:00;14:53;16:02;     ;16:41;17:26;     ;18:05;18:39;19:47
Gare de Vienne A          ;6:40;    ;7:44;    ;8:23;9:31;    ;10:10;     ;10:41;11:36;     ;12:53;     ;13:53;14:06;14:59;16:08;     ;16:49;17:31;     ;18:11;18:43;19:51
Gare de Vienne D          ;    ;6:45;    ;7:53;8:30;    ;9:40;     ;10:03;10:45;     ;11:45;12:59;13:35;13:55;     ;15:03;     ;15:50;     ;     ;17:46;18:13;     ;
Champs de Mars            ;    ;6:47;    ;7:54;8:31;    ;9:42;     ;10:05;10:45;     ;11:47;13:01;13:35;13:57;     ;15:04;     ;15:51;     ;     ;17:48;18:14;     ;
Cours Verdun              ;    ;6:47;    ;7:54;8:31;    ;9:42;     ;10:05;10:45;     ;11:47;13:02;13:35;13:57;     ;15:04;     ;15:51;     ;     ;17:48;18:14;     ;
Michel Servet             ;    ;6:48;    ;7:55;8:32;    ;9:43;     ;10:06;10:46;     ;11:48;13:02;13:37;13:58;     ;15:05;     ;15:52;     ;     ;17:49;18:15;     ;
La Pyramide               ;    ;6:48;    ;7:56;8:33;    ;9:44;     ;10:06;10:47;     ;11:48;13:02;13:38;13:59;     ;15:06;     ;15:53;     ;     ;17:50;18:16;     ;
Denfert Rochereau         ;    ;6:48;    ;7:56;8:33;    ;9:44;     ;10:06;10:47;     ;11:48;13:02;13:38;13:59;     ;15:06;     ;15:53;     ;     ;17:50;18:16;     ;
Le Trente                 ;    ;6:49;    ;7:57;8:34;    ;9:45;     ;10:07;10:48;     ;11:49;13:03;13:39;14:00;     ;15:07;     ;15:54;     ;     ;17:51;18:17;     ;
Parmentier                ;    ;6:50;    ;7:58;8:35;    ;9:46;     ;10:08;10:49;     ;11:50;13:04;13:40;14:01;     ;15:08;     ;15:55;     ;     ;17:52;18:18;     ;
Jean Moulin               ;    ;6:51;    ;7:59;8:36;    ;9:47;     ;10:09;10:50;     ;11:51;13:05;13:41;14:02;     ;15:09;     ;15:56;     ;     ;17:53;18:19;     ;
Lycée Galilée             ;    ;6:52;    ;8:00;8:37;    ;9:48;     ;10:10;10:51;     ;11:52;13:05;13:42;14:03;     ;15:10;     ;15:57;     ;     ;17:54;18:20;     ;
Saint-Avour               ;    ;6:52;    ;8:01;8:38;    ;9:48;     ;10:10;10:51;     ;11:52;13:05;13:43;14:04;     ;15:11;     ;15:58;     ;     ;17:55;18:21;     ;
Notre-Dame de l'Isle      ;    ;6:53;    ;8:02;8:39;    ;9:49;     ;10:11;10:52;     ;11:53;13:07;13:44;14:05;     ;15:12;     ;15:59;     ;     ;     ;     ;     ;
Parc Relais Sud de L'Isle ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17:57;18:22;     ;
Collège de l'Isle         ;    ;6:54;    ;8:08;8:43;    ;9:54;     ;10:16;10:53;     ;11:57;13:11;13:49;14:10;     ;15:18;     ;16:05;     ;     ;18:02;18:28;     ;
