Stade de Malissol         ;6:13;    ;7:10;    ;7:54;9:04;     ;10:14;13:24;14:32;     ;     ;     ;18:19
Malissol Victor Hugo      ;6:13;    ;7:10;    ;7:54;9:04;     ;10:14;13:24;14:32;     ;     ;     ;18:19
Les Hameaux de Malissol  ;6:14;    ;7:11;    ;7:55;9:05;     ;10:15;13:25;14:33;     ;     ;     ;18:20
Malissol La Ferme         ;6:15;    ;7:12;    ;7:56;9:06;     ;10:16;13:26;14:34;     ;     ;     ;18:21
L'Horloge                 ;6:15;    ;7:12;    ;7:56;9:06;     ;10:16;13:26;14:34;     ;     ;     ;18:21
Les Cèdres                ;6:16;    ;7:13;    ;7:57;9:07;     ;10:17;13:27;14:35;     ;     ;     ;18:22
Rond-Point Malissol       ;6:17;    ;7:14;    ;7:58;9:08;     ;10:18;13:28;14:36;     ;     ;     ;18:23
L'Abbaye                  ;6:18;    ;7:15;    ;7:59;9:09;     ;10:19;13:29;14:37;     ;     ;     ;18:24
Frèrejean                 ;6:19;    ;7:16;    ;7:00;9:10;     ;10:20;13:30;14:38;     ;     ;     ;18:25
Z.A de Montplaisir        ;6:19;    ;7:16;    ;8:01;9:10;     ;10:20;13:30;14:38;     ;     ;     ;18:25
Champ de Course           ;6:20;    ;7:17;    ;8:01;9:11;     ;10:21;13:31;14:39;     ;     ;     ;18:26
La Feyta                  ;6:21;    ;7:18;    ;8:02;9:12;     ;10:22;13:32;14:40;     ;     ;     ;18:27
Plan des Aures            ;6:22;    ;7:19;    ;8:06;9:13;     ;10:23;13:33;14:41;     ;     ;     ;18:28
Les Gentianes             ;6:23;    ;7:20;    ;8:04;9:14;     ;10:24;13:34;14:42;     ;     ;     ;18:29
Les Mésanges              ;6:24;    ;7:21;    ;8:05;9:15;     ;10:25;13:35;14:43;     ;     ;     ;18:30
Centre Pont-Evêque        ;6:25;    ;7:22;    ;8:06;9:16;     ;10:26;13:36;14:44;     ;     ;     ;18:31
Les Bleuets               ;6:26;    ;7:23;    ;8:07;9:17;     ;10:27;13:37;14:45;     ;     ;     ;18:32
Les Forges                ;6:26;    ;7:23;    ;8:07;9:17;     ;10:27;13:37;14:45;     ;     ;     ;18:32
La Véga                   ;6:27;    ;7:24;    ;8:08;9:18;     ;10:28;13:38;14:46;     ;     ;     ;18:33
Roncevaux                 ;6:29;    ;7:26;    ;8:10;9:20;     ;10:30;13:40;14:48;     ;     ;     ;18:35
Charlemangne              ;6:30;    ;7:27;    ;8:11;9:21;     ;10:31;13:41;14:49;     ;     ;     ;18:36
La Ravat                  ;6:31;    ;7:28;    ;8:12;9:22;     ;10:32;13:42;14:50;     ;     ;     ;18:37
Nicolas Chorier           ;6:33;    ;7:30;    ;8:14;9:24;     ;10:34;13:44;14:52;     ;     ;     ;18:39
Temple de Cybèle          ;6:37;    ;7:31;    ;8:15;9:25;     ;10:35;13:45;14:53;     ;     ;     ;18:39
Gare de Vienne A          ;6:40;    ;7:37;    ;8:21;9:31;     ;10:41;13:51;14:59;     ;     ;     ;18:43
Gare de Vienne D          ;    ;6:45;    ;7:53;8:30;    ;10:02;10:45;13:55;15:03;15:50;17:46;18:10;
Champs de Mars            ;    ;6:47;    ;7:54;8:31;    ;10:03;10:46;13:56;15:04;15:51;17:47;18:11;
Cours Verdun              ;    ;6:47;    ;7:54;8:31;    ;10:03;10:46;13:56;15:04;15:51;17:47;18:11;
Michel Servet             ;    ;6:48;    ;7:55;8:32;    ;10:04;10:47;13:57;15:05;15:52;17:48;18:12;
La Pyramide               ;    ;6:48;    ;7:56;8:33;    ;10:05;10:48;13:58;15:06;15:53;17:49;18:13;
Denfert Rochereau         ;    ;6:48;    ;7:56;8:33;    ;10:05;10:48;13:58;15:06;15:53;17:49;18:13;
Le Trente                 ;    ;6:49;    ;7:57;8:34;    ;10:06;10:49;13:59;15:07;15:54;17:50;18:14;
Parmentier                ;    ;6:50;    ;7:58;8:35;    ;10:07;10:50;14:00;15:08;15:55;17:51;18:15;
Jean Moulin               ;    ;6:51;    ;7:59;8:36;    ;10:08;10:51;14:01;15:09;15:56;17:52;18:16;
Lycée Galilée             ;    ;6:52;    ;8:00;8:37;    ;10:09;10:52;14:02;15:10;15:57;17:53;18:17;
Saint-Avour               ;    ;6:52;    ;8:01;8:38;    ;10:10;10:53;14:03;15:11;15:58;17:54;18:18;
Notre-Dame de l'Isle      ;    ;6:53;    ;8:02;8:39;    ;10:11;10:54;14:04;15:12;15:59;     ;     ;
Parc Relais Sud de L'Isle ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;17:55;18:19;
Collège de l'Isle         ;    ;6:54;    ;8:06;8:43;    ;10:15;10:58;14:10;15:18;16:05;18:01;18:25;
