Stade de Malissol         ;8:34;     ;     ;13:32;16:19;19:11
Malissol Victor Hugo      ;8:35;11:30;     ;13:33;16:20;19:12
Les Hammeaux de Malissol  ;8:35;11:31;     ;13:34;16:21;19:13
La Ferme                  ;8:36;11:31;     ;13:34;16:21;19:13
L'Horloge                 ;8:36;11:31;     ;13:34;16:21;19:13
Les Cèdres                ;8:37;11:32;     ;13:35;16:22;19:14
Rond-Point Malissol       ;8:37;11:33;     ;13:35;16:23;19:14
L'Abbaye                  ;8:38;11:34;     ;13:36;16:24;19:15
Frêre Jean                ;8:39;11:35;     ;13:36;16:25;19:16
Z.A de Montplaisir        ;8:39;11:35;     ;13:37;16:25;19:16
Champ de Course           ;8:40;11:36;     ;13:37;16:26;19:17
La Feyta                  ;8:42;11:37;     ;13:38;16:27;19:19
Plan des Aures            ;8:43;11:38;     ;13:40;16:28;19:20
Les Gentianes             ;8:44;11:39;     ;13:41;16:29;19:21
Les Mésanges              ;8:45;11:41;     ;13:42;16:31;19:23
Centre Pont-Evêque        ;8:47;11:42;     ;13:44;16:32;19:24
Les Bleuets               ;8:48;11:43;     ;13:45;16:33;19:25
Les Froge                 ;8:49;11:44;     ;13:46;16:34;19:26
La Véga                   ;8:50;11:45;     ;13:47;16:35;19:27
Roncevaux                 ;8:52;11:47;     ;13:48;16:37;19:29
Charlemangne              ;8:53;11:48;     ;13:50;16:38;19:30
La Ravat                  ;8:54;11:49;     ;13:51;16:39;19:31
Nicolas Chorier           ;8:55;11:50;     ;13:52;16:40;19:32
Temple de Cybèle          ;8:56;11:51;     ;13:53;16:41;19:33
Gare de Vienne A          ;8:57;11:52;     ;13:54;16:42;19:34
Gare de Vienne D          ;8:59;     ;12:00;13:57;16:44;19:36
Champs de Mars            ;9:01;     ;12:02;13:59;16:46;19:38
Cours Verdun              ;9:02;     ;12:03;14:00;16:47;19:39
Michel Servet             ;9:03;     ;12:04;14:01;16:48;19:40
La Pyramide               ;9:04;     ;12:05;14:02;16:49;19:41
Donfert Rochereau         ;9:04;     ;12:05;14:02;16:49;19:41
La Trente                 ;9:05;     ;12:06;14:03;16:50;19:42
parmentier                ;9:06;     ;12:07;14:04;16:51;19:43
Jean Moulin               ;9:07;     ;12:08;14:05;16:52;19:44
Lycée Galilée             ;9:08;     ;12:09;14:06;16:53;19:45
Saint-Avour               ;9:09;     ;12:10;14:07;16:54;19:46
Notre dame de l'Isle      ;9:10;     ;12:11;     ;16:55;19:47
Parc Relais Sud de L'Isle ;    ;     ;     ;14:08;     ;
Collège de l'Isle         ;9:11;     ;12:12;14:10;16:56;19:48
