Stade de Malissol         ;6:13;    ;7:10;    ;
Malissol Victor Hugo      ;6:13;    ;7:10;    ;
Les Hammeaux de Malissol  ;6:14;    ;7:11;    ;
La Ferme                  ;6:15;    ;7:12;    ;
L'Horloge                 ;6:15;    ;7:12;    ;
Les Cèdres                ;6:16;    ;7:13;    ;
Rond-Point Malissol       ;6:17;    ;7:14;    ;
L'Abbaye                  ;6:18;    ;7:15;    ;
Frêre Jean                ;6:19;    ;7:16;    ;
Z.A de Montplaisir        ;6:19;    ;7:16;    ;
Champ de Course           ;6:20;    ;7:17;    ;
La Feyta                  ;6:21;    ;7:18;    ;
Plan des Aures            ;6:22;    ;7:19;    ;
Les Gentianes             ;6:23;    ;7:20;    ;
Les Mésanges              ;6:24;    ;7:21;    ;
Centre Pont-Evêque        ;6:25;    ;7:22;    ;
Les Bleuets               ;6:26;    ;7:23;    ;
Les Froge                 ;6:26;    ;7:23;    ;
La Véga                   ;6:27;    ;7:24;    ;
Roncevaux                 ;6:29;    ;7:26;    ;
Charlemangne              ;6:30;    ;7:27;    ;
La Ravat                  ;6:31;    ;7:30;    ;
Nicolas Chorier           ;6:33;    ;7:33;    ;
Temple de Cybèle          ;6:34;    ;7:34;    ;
Gare de Vienne A          ;6:40;    ;7:44;    ;
Gare de Vienne D          ; 
Champs de Mars            ;
Cours Verdun              ;
Michel Servet             ;
La Pyramide               ;
Donfert Rochereau         ;
La Trente                 ;
parmentier                ;
Jean Moulin               ;
Lycée Galilée             ;
Saint-Avour               ;
Notre dame de l'Isle      ;
Parc Relais Sud de L'Isle ;
Collège de l'Isle         ;
