Collège de l'Isle         ;6:58;7:32;8:32;    ;8:57;10:02;     ;11:08;     ;12:07;12:46;     ;13:21;     ;14:29;     ;15:30;16:14;     ;18:10;18:40;
Notre dame de l'Isle      ;6:58;7:32;8:32;    ;8:57;10:02;     ;11:08;     ;12:07;12:46;     ;13:21;     ;14:29;     ;15:30;16:14;     ;18:10;18:40;
Parc Relais Sud de L'Isle ;7:00;7:34;8:34;    ;8:59;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;
Saint-Avour               ;7:03;7:37;8:37;    ;9:02;10:05;     ;11:11;     ;12:10;12:49;     ;13:24;     ;14:32;     ;15:33;16:16;     ;18:13;18:42;
Lycée Galilée             ;7:04;7:38;8:38;    ;9:03;10:06;     ;11:12;     ;12:11;12:50;     ;13:25;     ;14:34;     ;15:34;16:17;     ;18:14;18:43;
Jean Moulin               ;7:05;7:39;8:39;    ;9:04;10:07;     ;11:13;     ;12:12;12:51;     ;13:27;     ;14:35;     ;15:35;16:18;     ;18:15;18:44;
parmentier                ;7:06;7:40;8:40;    ;9:05;10:08;     ;11:14;     ;12:13;12:52;     ;13:28;     ;14:36;     ;15:36;16:19;     ;18:16;18:45;
La Trente                 ;7:07;7:41;8:41;    ;9:06;10:09;     ;11:15;     ;12:14;12:53;     ;13:29;     ;14:37;     ;15:37;16:20;     ;18:17;18:46;
Donfert Rochereau         ;7:08;7:42;8:42;    ;9:07;10:10;     ;11:16;     ;12:15;12:54;     ;13:30;     ;14:38;     ;15:38;16:21;     ;18:18;18:47;
La Pyramide               ;7:08;7:42;8:42;    ;9:07;10:10;     ;11:16;     ;12:15;12:54;     ;13:30;     ;14:38;     ;15:38;16:21;     ;18:18;18:47;
Michel Servet             ;7:08;7:42;8:42;    ;9:07;10:10;     ;11:16;     ;12:15;12:54;     ;13:30;     ;14:38;     ;15:38;16:21;     ;18:18;18:47;
Cours Verdun              ;7:09;7:43;8:43;    ;9:08;10:11;     ;11:17;     ;12:16;12:55;     ;13:31;     ;14:39;     ;15:39;16:22;     ;18:19;18:48;
Champs de Mars            ;7:10;7:44;8:44;    ;9:10;10:12;     ;11:18;     ;12:17;12:56;     ;13:32;     ;14:40;     ;15:40;16:23;     ;18:20;18:49;
Gare de Vienne D          ;7:13;7:46;8:46;    ;9:11;10:16;     ;11:20;     ;12:21;13:01;     ;13:36;     ;14:44;     ;15:44;16:30;     ;18:24;18:51;
Gare de Vienne A          ;7:24;    ;    ;8:33;9:14;10:18;10:32;     ;11:22;12:23;     ;13:11;     ;13:48;     ;14:32;15:46;16:32;17:45;18:26;18:53;19:40
Temple de Cybèle          ;7:28;    ;    ;8:36;9:16;10:20;10:34;     ;11:25;12:26;     ;13:14;     ;13:51;     ;14:34;15:51;16:33;17:49;18:29;18:56;19:42
Nicolas Chorier           ;7:29;    ;    ;8:37;9:17;10:21;10:35;     ;11:26;12:27;     ;13:15;     ;13:52;     ;14:36;15:51;16:34;17:50;18:30;18:57;19:43
La Ravat                  ;7:31;    ;    ;8:39;9:19;10:23;10:37;     ;11:27;12:28;     ;13:17;     ;13:54;     ;14:38;15:53;16:35;17:52;18:32;18:59;19:45
Charlemangne              ;7:32;    ;    ;8:40;9:20;10:24;10:38;     ;11:28;12:29;     ;13:18;     ;13:55;     ;14:39;15:54;16:36;17:53;18:33;19:00;19:46
Roncevaux                 ;7:33;    ;    ;8:41;9:21;10:25;10:39;     ;11:29;12:30;     ;13:19;     ;13:56;     ;14:40;15:55;16:37;17:54;18:34;19:01;19:47
La Véga                   ;7:34;    ;    ;8:42;9:22;10:26;10:40;     ;11:30;12:32;     ;13:20;     ;13:57;     ;14:41;15:56;16:39;17:55;18:35;19:02;19:48
Les Forges                ;7:35;    ;    ;8:43;9:23;10:27;10:41;     ;11:32;12:33;     ;13:21;     ;13:58;     ;14:42;15:57;16:40;17:55;18:36;19:03;19:49
Les Bleuets               ;7:35;    ;    ;8:43;9:23;10:27;10:41;     ;11:33;12:33;     ;13:21;     ;13:58;     ;14:42;15:57;16:41;17:55;18:36;19:03;19:49
Centre Pont-Evêque        ;7:36;    ;    ;8:44;9:24;10:28;10:42;     ;11:34;12:34;     ;13:22;     ;13:59;     ;14:43;15:58;16:42;17:57;18:37;19:04;19:50
Les Mésanges              ;7:37;    ;    ;8:45;9:25;10:29;10:43;     ;11:35;12:35;     ;13:23;     ;14:00;     ;14:44;15:59;16:43;17:58;18:38;19:05;19:51
Les Gentianes             ;7:38;    ;    ;8:46;9:26;10:30;10:44;     ;11:36;12:36;     ;13:24;     ;14:01;     ;14:45;16:00;16:43;17:59;18:39;19:06;19:52
Plan des Aures            ;7:39;    ;    ;8:47;9:27;10:31;10:45;     ;11:37;12:37;     ;13:25;     ;14:02;     ;14:46;16:01;16:44;18:00;18:40;19:07;19:53
La Feyta                  ;7:40;    ;    ;8:48;9:28;10:32;10:46;     ;11:38;12:38;     ;13:26;     ;14:03;     ;14:47;16:02;16:45;18:01;18:41;19:08;19:54
Champ de Course           ;7:41;    ;    ;8:49;9:29;10:33;10:47;     ;11:39;12:39;     ;13:27;     ;14:04;     ;14:48;16:03;16:46;18:02;18:42;19:09;19:55
Z.A de Montplaisir        ;7:41;    ;    ;8:49;9:29;10:33;10:47;     ;11:39;12:39;     ;13:27;     ;14:04;     ;14:48;16:03;16:46;18:02;18:42;19:09;19:55
Frêre Jean                ;7:41;    ;    ;8:49;9:29;10:33;10:47;     ;11:39;12:39;     ;13:27;     ;14:04;     ;14:48;16:03;16:47;18:02;18:42;19:09;19:55
L'Abbaye                  ;7:42;    ;    ;8:50;9:30;10:34;10:48;     ;11:40;12:40;     ;13:28;     ;14:05;     ;14:49;16:04;16:48;18:03;18:43;19:10;19:56
Rond-Point Malissol       ;7:43;    ;    ;8:51;9:31;10:35;10:49;     ;11:41;12:41;     ;13:29;     ;14:06;     ;14:50;16:05;16:48;18:04;18:44;19:11;19:57
Les Cèdres                ;7:44;    ;    ;8:52;9:32;10:36;10:50;     ;11:42;12:42;     ;13:30;     ;14:07;     ;14:51;16:06;16:50;18:05;18:45;19:12;19:58
L'Horloge                 ;7:45;    ;    ;8:53;9:33;10:37;10:51;     ;11:43;12:43;     ;13:31;     ;14:08;     ;14:52;16:07;16:51;18:06;18:46;19:13;19:59
La Ferme                  ;7:45;    ;    ;8:53;9:33;10:37;10:51;     ;11:43;12:43;     ;13:31;     ;14:08;     ;14:52;16:07;16:51;18:06;18:46;19:13;19:59
Les Hammeaux de Malissol  ;7:45;    ;    ;8:53;9:33;10:37;10:51;     ;11:43;12:43;     ;13:31;     ;14:08;     ;14:52;16:07;16:51;18:06;18:46;19:13;19:59
Malissol Victor Hugo      ;7:46;    ;    ;8:54;9:34;10:38;10:52;     ;11:44;12:44;     ;13:32;     ;14:09;     ;14:53;16:08;16:52;18:07;18:47;19:14;20:00
Stade de Malissol         ;7:52;    ;    ;8:59;9:38;10:42;10:56;     ;11:49;12:49;     ;13:37;     ;14:14;     ;14:58;16:14;16:59;18:13;18:52;19:19;20:04
