Collège de l'Isle         ;6:59;7:31;8:31;8:56;     ;11:08;     ;12:47;     ;13:22;14:30;15:30;     ;18:10
Notre-Dame de l'Isle      ;6:59;7:31;8:31;8:56;     ;11:08;     ;12:47;     ;13:22;14:30;15:30;     ;18:10
Parc Relais Sud de L'Isle ;7:00;7:33;8:33;8:58;     ;     ;     ;     ;     ;     ;     ;     ;     ;
Saint-Avour               ;7:02;7:36;8:36;9:01;     ;11:11;     ;12:50;     ;13:25;14:33;15:33;     ;18:13
Lycée Galilée             ;7:03;7:37;8:37;9:02;     ;11:12;     ;12:51;     ;13:26;14:34;15:34;     ;18:14
Jean Moulin               ;7:04;7:38;8:38;9:03;     ;11:13;     ;12:52;     ;13:27;14:35;15:35;     ;18:15
Parmentier                ;7:05;7:39;8:39;9:04;     ;11:14;     ;12:53;     ;13:28;14:36;15:36;     ;18:16
Le Trente                 ;7:06;7:40;8:40;9:05;     ;11:15;     ;12:54;     ;13:29;14:37;15:37;     ;18:17
Denfert Rochereau         ;7:07;7:41;8:41;9:06;     ;11:16;     ;12:55;     ;13:30;14:38;15:38;     ;18:18
La Pyramide               ;7:07;7:41;8:41;9:06;     ;11:16;     ;12:55;     ;13:30;14:38;15:38;     ;18:18
Michel Servet             ;7:07;7:41;8:41;9:06;     ;11:16;     ;12:55;     ;13:30;14:38;15:38;     ;18:18
Cours Verdun              ;7:08;7:42;8:42;9:07;     ;11:17;     ;12:56;     ;13:31;14:39;15:39;     ;18:19
Champs de Mars            ;7:09;7:43;8:43;9:08;     ;11:18;     ;12:57;     ;13:32;14:40;15:40;     ;18:20
Gare de Vienne D          ;7:13;7:45;8:46;9:11;     ;11:20;     ;13:01;     ;13:36;14:44;15:44;     ;18:24
Gare de Vienne A          ;7:24;    ;    ;9:14;10:18;     ;11:22;     ;13:11;13:48;     ;     ;16:32; 
Temple de Cybèle          ;7:27;    ;    ;9:16;10:20;     ;11:25;     ;13:14;13:50;     ;     ;16:33;
Nicolas Chorier           ;7:28;    ;    ;9:17;10:21;     ;11:26;     ;13:15;13:51;     ;     ;16:34;
La Ravat                  ;7:30;    ;    ;9:19;10:23;     ;11:28;     ;13:17;13:53;     ;     ;16:35;
Charlemangne              ;7:31;    ;    ;9:20;10:24;     ;11:29;     ;13:18;13:54;     ;     ;16:36;
Roncevaux                 ;7:32;    ;    ;9:21;10:25;     ;11:30;     ;13:19;13:55;     ;     ;16:37;
La Véga                   ;7:33;    ;    ;9:22;10:26;     ;11:31;     ;13:20;13:56;     ;     ;16:39;
Les Forges                ;7:34;    ;    ;9:23;10:27;     ;11:32;     ;13:21;13:57;     ;     ;16:40;
Les Bleuets               ;7:35;    ;    ;9:23;10:27;     ;11:32;     ;13:21;13:57;     ;     ;16:41;
Centre Pont-Evêque        ;7:36;    ;    ;9:24;10:28;     ;11:33;     ;13:22;13:58;     ;     ;16:42;
Les Mésanges              ;7:36;    ;    ;9:25;10:29;     ;11:34;     ;13:23;13:59;     ;     ;16:43;
Les Gentianes             ;7:37;    ;    ;9:26;10:30;     ;11:35;     ;13:24;14:00;     ;     ;16:43;
Plan des Aures            ;7:38;    ;    ;9:27;10:31;     ;11:36;     ;13:25;14:01;     ;     ;16:44;
La Feyta                  ;7:39;    ;    ;9:28;10:32;     ;11:37;     ;13:26;14:02;     ;     ;16:45;
Champ de Course           ;7:40;    ;    ;9:29;10:33;     ;11:38;     ;13:27;14:03;     ;     ;16:46;
Z.A de Montplaisir        ;7:40;    ;    ;9:29;10:33;     ;11:38;     ;13:27;14:03;     ;     ;16:46;
Frèrejean                 ;7:40;    ;    ;9:29;10:33;     ;11:38;     ;13:27;14:03;     ;     ;16:47;
L'Abbaye                  ;7:41;    ;    ;9:30;10:34;     ;11:39;     ;13:28;14:04;     ;     ;16:48;
Rond-Point Malissol       ;7:42;    ;    ;9:31;10:35;     ;11:40;     ;13:29;14:05;     ;     ;16:48;
Les Cèdres                ;7:43;    ;    ;9:32;10:36;     ;11:41;     ;13:30;14:06;     ;     ;16:50;
L'Horloge                 ;7:44;    ;    ;9:33;10:37;     ;11:42;     ;13:31;14:07;     ;     ;16:51;
Malissol La Ferme         ;7:44;    ;    ;9:33;10:37;     ;11:42;     ;13:31;14:07;     ;     ;16:51;
Les Hameaux de Malissol   ;7:44;    ;    ;9:33;10:37;     ;11:42;     ;13:31;14:07;     ;     ;16:51;
Malissol Victor Hugo      ;7:45;    ;    ;9:34;10:38;     ;11:43;     ;13:32;14:08;     ;     ;16:52;
Stade de Malissol         ;7:50;    ;    ;9:38;10:42;     ;11:48;     ;13:37;14:12;     ;     ;16:59;
