Estressin Centre Commercial  ;    ;    ;    ;    ;    ;    ;    ;    ;8:17;    ;8:50;10:00;     ;11:05;     ;12:05;     ;     ;     ;12:37;13:23;     ;     ;     ;14:16;15:06;15:35;16:00;     ;     ;     ;16:40;     ;     ;     ;     ;     ;17:32;     ;     ;     ;18:44;     ;     ;     ;     ;     
Estressin Z.I.           ;5:50;6:52;    ;    ;7:25;7:30;    ;    ;8:18;    ;8:51;10:01;     ;11:06;     ;12:06;     ;     ;     ;12:38;13:24;     ;13:30;     ;14:17;15:07;15:36;16:01;     ;     ;     ;16:41;     ;     ;     ;     ;     ;17:33;     ;     ;     ;18:45;     ;     ;     ;     ;     
Claude Bernard           ;5:51;6:53;    ;    ;7:26;7:31;    ;    ;8:19;    ;8:52;10:02;     ;11:07;     ;12:07;     ;     ;     ;12:39;13:25;     ;13:31;     ;14:18;15:08;15:37;16:02;     ;     ;     ;16:42;     ;     ;     ;     ;     ;17:34;     ;     ;     ;18:46;     ;     ;     ;     ;     
Savoie                   ;5:51;6:53;    ;    ;7:26;7:31;    ;    ;8:19;    ;8:52;10:02;     ;11:07;     ;12:07;     ;     ;     ;12:39;13:25;     ;13:31;     ;14:18;15:08;15:37;16:02;     ;     ;     ;16:42;     ;     ;     ;     ;     ;17:34;     ;     ;     ;18:46;     ;     ;     ;     ;     
Centre Social            ;5:52;6:54;    ;    ;7:27;7:32;    ;    ;8:20;    ;8:53;10:03;     ;11:08;     ;12:08;     ;     ;     ;12:40;13:26;     ;13:33;     ;14:19;15:09;15:38;16:03;     ;     ;     ;16:43;     ;     ;     ;     ;     ;17:35;     ;     ;     ;18:47;     ;     ;     ;     ;     
Pierre et Marie Curie    ;5:52;6:55;    ;    ;7:27;7:33;    ;    ;8:21;    ;8:54;10:04;     ;11:09;     ;12:09;     ;     ;     ;12:41;13:27;     ;13:33;     ;14:20;15:10;15:39;16:04;     ;     ;     ;16:44;     ;     ;     ;     ;     ;17:35;     ;     ;     ;18:48;     ;     ;     ;     ;     
Cité Jardin              ;5:53;6:56;    ;    ;7:27;7:33;    ;    ;8:22;    ;8:55;10:05;     ;11:10;     ;12:10;     ;     ;     ;12:42;13:28;     ;13:34;     ;14:21;15:11;15:40;16:05;     ;     ;     ;16:45;     ;     ;     ;     ;     ;17:36;     ;     ;     ;18:49;     ;     ;     ;     ;     
Gare d'Estressin         ;5:53;6:57;    ;    ;7:28;7:34;    ;    ;8:23;    ;8:56;10:06;     ;11:11;     ;12:11;     ;     ;     ;12:43;13:29;     ;13:35;     ;14:22;15:12;15:41;16:06;     ;     ;     ;16:46;     ;     ;     ;     ;     ;17:37;     ;     ;     ;18:50;     ;     ;     ;     ;     
Port au Prince           ;5:54;6:58;    ;    ;7:29;7:35;    ;    ;8:24;    ;8:57;10:07;     ;11:12;     ;12:12;     ;     ;     ;12:44;13:30;     ;13:36;     ;14:23;15:13;15:42;16:07;     ;     ;     ;16:47;     ;     ;     ;     ;     ;17:38;     ;     ;     ;18:51;     ;     ;     ;     ;     
Étienne Rey              ;5:54;6:58;    ;    ;7:29;7:36;    ;    ;8:24;    ;8:57;10:07;     ;11:12;     ;12:12;     ;     ;     ;12:44;13:30;     ;13:37;     ;14:23;15:13;15:42;16:07;     ;     ;     ;16:47;     ;     ;     ;     ;     ;17:38;     ;     ;     ;18:51;     ;     ;     ;     ;     
