Collège de l'Isle       ;5:45;6:34;    ;7:15;7:40;    ;7:58;8:41;9:12;9:40;10:25;11:24;11:41;11:55;     ;12:28;12:58;     ;13:25;13:29;13:42;     ;13:55;14:58;15:52;16:23;16:41;16:47;17:08;     ;     ;17:31;17:42;17:53;     ;18:22;18:51;19:11;     ;19:28;19:40;19:58 
Notre-Dame de l'Isle    ;5:45;6:34;    ;7:16;7:40;    ;7:58;8:41;9:12;9:40;10:25;11:24;11:41;11:55;     ;12:28;12:58;     ;13:26;13:29;13:42;     ;13:55;14:58;15:52;16:23;16:41;16:47;17:09;     ;     ;17:32;17:43;17:53;     ;18:22;18:51;19:11;     ;19:28;19:40;19:58
Parc Relais Sud de L'Isle ;5:47;6:36;    ;    ;7:42;    ;8:00;8:43;9:14;    ;     ;     ;11:43;     ;     ;12:30;13:00;     ;     ;     ;13:44;     ;     ;     ;     ;16:25;     ;16:49;     ;     ;     ;     ;     ;17:55;     ;18:24;     ;19:13;     ;     ;19:42;
Saint-Avour             ;5:49;6:39;    ;7:17;7:45;    ;8:03;8:46;9:17;9:43;10:26;11:27;11:46;11:58;     ;12:33;13:03;     ;13:27;13:32;13:47;     ;13:58;15:01;15:55;16:28;16:43;16:52;17:10;     ;     ;17:33;17:44;17:58;     ;18:27;18:53;19:16;     ;19:30;19:45;20:00
Lycée Galilée           ;5:49;6:40;    ;7:18;7:46;    ;8:04;8:47;9:18;9:44;10:27;11:28;11:47;11:59;     ;12:34;13:04;     ;13:28;13:33;13:48;     ;13:59;15:02;15:56;16:29;16:44;16:53;17:11;     ;17:08;17:34;17:45;17:59;     ;18:28;18:54;19:17;     ;19:31;19:46;20:01
Jean Moulin             ;5:50;6:41;    ;7:19;7:47;    ;8:05;8:48;9:19;9:45;10:29;11:29;11:48;12:00;     ;12:35;13:05;     ;13:29;13:34;13:49;     ;14:00;15:03;15:57;16:30;16:45;16:54;17:12;     ;17:09;17:35;17:46;18:00;     ;18:29;18:55;19:18;     ;19:32;19:47;20:02
Parmentier              ;5:51;6:42;    ;7:20;7:48;    ;8:06;8:49;9:20;9:46;10:30;11:30;11:49;12:01;     ;12:36;13:06;     ;13:30;13:35;13:50;     ;14:01;15:04;15:58;16:31;16:46;16:55;17:13;     ;     ;17:36;17:47;18:01;     ;18:30;18:56;19:19;     ;19:33;19:48;20:03
Le Trente               ;5:52;6:43;    ;7:21;7:49;    ;8:07;8:50;9:21;9:47;10:31;11:31;11:50;12:02;     ;12:37;13:07;     ;13:31;13:36;13:51;     ;14:02;15:05;15:59;16:32;16:47;16:56;17:14;     ;     ;17:37;17:48;18:02;     ;18:31;18:57;19:20;     ;19:34;19:49;20:04
Denfert Rochereau       ;5:53;6:44;    ;7:22;7:50;    ;8:08;8:51;9:22;9:48;10:32;11:32;11:51;12:03;     ;12:38;13:08;     ;13:32;13:37;13:52;     ;14:03;15:06;16:00;16:33;16:48;16:57;17:15;     ;     ;17:38;17:49;18:03;     ;18:32;18:58;19:21;     ;19:35;19:50;20:05
La Pyramide             ;5:53;6:44;    ;7:22;7:50;    ;8:08;8:51;9:22;9:48;10:33;11:32;11:51;12:03;     ;12:38;13:08;     ;13:32;13:37;13:52;     ;14:03;15:06;16:00;16:33;16:48;16:57;17:15;     ;17:12;17:38;17:49;18:03;     ;18:32;18:58;19:21;     ;19:35;19:50;20:05
Michel Servet           ;5:53;6:44;    ;7:22;7:50;    ;8:08;8:51;9:22;9:48;10:33;11:32;11:51;12:03;     ;12:38;13:08;     ;13:32;13:37;13:52;     ;14:03;15:06;16:00;16:33;16:48;16:57;17:15;     ;17:13;17:38;17:49;18:03;     ;18:32;18:58;19:21;     ;19:35;19:50;20:05
Cours Verdun            ;5:54;6:45;    ;7:23;7:51;    ;8:09;8:52;9:23;9:49;10:34;11:33;11:52;12:04;     ;12:39;13:09;     ;13:33;13:38;13:53;     ;14:04;15:07;16:01;16:34;16:49;16:58;17:16;     ;17:14;17:39;17:50;18:04;     ;18:33;18:59;19:22;     ;19:36;19:51;20:06
Champs de Mars          ;5:55;6:46;    ;7:25;7:52;    ;8:10;8:53;9:24;9:50;10:35;11:34;11:53;12:05;     ;12:40;13:10;     ;13:35;13:39;13:54;     ;14:05;15:08;16:02;16:35;16:50;16:59;17:18;     ;17:15;17:41;17:52;18:05;     ;18:34;19:00;19:23;     ;19:36;19:52;20:06
Gare de Vienne A        ;5:58;6:49;    ;    ;7:57;    ;8:15;8:56;9:27;9:54;10:39;11:38;11:56;12:08;     ;12:43;13:13;     ;     ;13:43;13:59;     ;14:08;15:11;16:05;16:38;16:57;17:04;17:26;     ;17:19;17:49;18:00;18:10;     ;18:37;19:02;19:26;     ;19:38;19:55;20:08
Gare de Vienne D        ;6:10;    ;7:05;    ;    ;7:51;8:20;    ;9:30;    ;10:41;11:43;     ;     ;     ;     ;     ;13:00;     ;     ;     ;13:50;     ;15:13;16:07;     ;     ;     ;     ;     ;     ;     ;     ;     ;18:12;     ;     ;     ;19:10;19:45;     ;
Jardin de Ville         ;6:11;    ;7:06;7:27;    ;7:53;8:21;    ;9:31;    ;10:42;11:44;     ;     ;     ;     ;     ;13:01;13:37;     ;     ;13:51;     ;15:14;16:08;     ;     ;     ;     ;     ;     ;     ;     ;     ;18:13;     ;     ;     ;19:11;19:46;     ;
Saint Maurice           ;6:13;    ;7:08;7:29;    ;7:55;8:22;    ;9:32;    ;10:44;11:45;     ;     ;     ;     ;     ;13:02;13:39;     ;     ;13:52;     ;15:16;16:10;     ;     ;     ;     ;     ;     ;     ;     ;     ;18:15;     ;     ;     ;19:12;19:47;     ;
Jeu de Paume            ;6:14;    ;7:09;7:31;    ;7:57;8:22;    ;9:33;    ;10:46;11:46;     ;     ;     ;     ;     ;13:03;13:41;     ;     ;13:53;     ;15:18;16:11;     ;     ;     ;     ;     ;     ;     ;     ;     ;18:16;     ;     ;     ;19:13;19:48;     ;
Lycée E.Fitzgerald      ;    ;    ;    ;7:46;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;13:44;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;
Tuilerie                ;6:15;    ;7:10;    ;    ;7:58;8:24;    ;9:34;    ;10:47;11:47;     ;     ;     ;     ;     ;13:04;     ;     ;     ;13:54;     ;15:19;16:12;     ;     ;     ;     ;     ;     ;     ;     ;     ;18:17;     ;     ;     ;19:14;19:48;     ;
Les Portes de Lyon      ;6:15;    ;7:10;    ;    ;7:59;8:25;    ;9:34;    ;10:48;11:47;     ;     ;     ;     ;     ;13:04;     ;     ;     ;13:54;     ;15:20;16:12;     ;     ;     ;     ;     ;     ;     ;     ;     ;18:17;     ;     ;     ;19:14;19:49;     ;
Collège Grange          ;    ;    ;    ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:07;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17:08;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;
Pasteur                 ;6:16;    ;7:11;    ;    ;8:00;8:26;    ;9:35;    ;10:49;11:48;     ;     ;12:14;     ;     ;13:05;     ;     ;     ;13:55;     ;15:21;16:13;     ;     ;     ;     ;17:15;     ;     ;     ;     ;18:18;     ;     ;     ;19:15;19:49;     ;
Étienne Rey             ;6:16;    ;7:11;    ;    ;8:00;8:27;    ;9:36;    ;10:49;11:49;     ;     ;12:15;     ;     ;13:06;     ;     ;     ;13:56;     ;15:21;16:14;     ;     ;     ;     ;17:16;     ;     ;     ;     ;18:19;     ;     ;     ;19:16;19:50;     ;
