Collège de l'Isle       ;5:45;6:34;7:40;    ;8:03;8:18;9:12;9:40;10:25;11:24;11:48;12:05;12:28;12:58;13:14;     ;13:55;14:58;15:52;16:08;16:23;16:51;17:07;17:29;17:41;18:22;18:52;     ;19:11;19:28;19:58
Notre-Dame de l'Isle    ;5:45;6:34;7:40;    ;8:03;8:18;9:12;9:40;10:25;11:24;11:48;12:05;12:28;12:58;13:14;     ;13:55;14:58;15:52;16:08;16:23;16:51;17:07;17:29;17:41;18:22;18:52;     ;19:11;19:28;19:58
Parc Relais Sud de L'Isle;5:47;6:36;7:42;    ;8:05;8:20;9:14;    ;     ;     ;11:50;     ;12:30;13:00;13:16;     ;     ;     ;     ;16:10;16:25;16:53;     ;     ;     ;18:24;     ;     ;19:13;     ;
Saint-Avour             ;5:50;6:39;7:45;    ;8:08;8:23;9:17;9:43;10:28;11:27;11:53;12:08;12:33;13:03;13:19;     ;13:58;15:01;15:54;16:13;16:28;16:56;17:09;17:31;17:43;18:27;18:55;     ;19:16;19:30;20:00
Lycée Galilée           ;5:51;6:40;7:46;    ;8:09;8:24;9:18;9:44;10:29;11:28;11:54;12:09;12:34;13:04;13:20;     ;13:59;15:02;15:55;16:14;16:29;16:57;17:10;17:32;17:44;18:28;18:56;     ;19:17;19:31;20:01
Jean Moulin             ;5:52;6:41;7:47;    ;8:10;8:25;9:19;9:45;10:30;11:29;11:55;12:10;12:35;13:05;13:21;     ;14:00;15:03;15:56;16:15;16:30;16:58;17:11;17:33;17:45;18:29;18:57;     ;19:18;19:32;20:02
Parmentier              ;5:53;6:42;7:48;    ;8:11;8:26;9:20;9:46;10:31;11:30;11:56;12:11;12:36;13:06;13:22;     ;14:01;15:04;15:57;16:16;16:31;16:59;17:12;17:34;17:46;18:30;18:58;     ;19:19;19:33;20:03
Le Trente               ;5:54;6:43;7:49;    ;8:12;8:27;9:21;9:47;10:32;11:31;11:57;12:12;12:37;13:07;13:23;     ;14:02;15:05;15:58;16:17;16:32;17:00;17:13;17:35;17:47;18:31;18:59;     ;19:20;19:34;20:04
Denfert Rochereau       ;5:55;6:44;7:50;    ;8:13;8:28;9:22;9:48;10:33;11:32;11:58;12:13;12:38;13:08;13:24;     ;14:03;15:06;15:59;16:18;16:33;17:01;17:14;17:36;17:48;18:32;19:00;     ;19:21;19:35;20:05
La Pyramide             ;5:55;6:44;7:50;    ;8:13;8:28;9:22;9:48;10:33;11:32;11:58;12:13;12:38;13:08;13:24;     ;14:03;15:06;15:59;16:18;16:33;17:01;17:14;17:36;17:48;18:32;19:00;     ;19:21;19:35;20:05
