Stade de Malissol           ;5:47;    ;    ;6:42;    ;9:29 ;10:46;11:29;11:51;12:07;     ;13:54;15:07;15:57;16:49;17:19;17:59;18:54
Malissol Victor Hugo        ;5:48;    ;    ;6:43;    ;9:30 ;10:47;11:30;11:52;12:08;     ;13:55;15:08;15:58;16:50;17:20;18:00;18:55
Les Hameaux de Malissol     ;5:48;    ;    ;6:44;    ;9:31 ;10:48;11:31;11:53;12:09;     ;13:56;15:09;15:59;16:51;17:21;18:01;18:55
Malissol La Ferme           ;5:48;    ;    ;6:44;8:21;9:31 ;10:48;11:31;11:53;12:09;     ;13:56;15:09;15:59;16:51;17:21;18:01;18:55
L'Horloge                   ;5:48;    ;    ;6:44;8:21;9:31 ;10:48;11:31;11:53;12:09;     ;13:56;15:09;15:59;16:51;17:21;18:01;18:55
Les Cèdres                  ;5:49;    ;    ;6:45;8:22;9:35 ;10:49;11:32;11:54;12:10;     ;13:57;15:10;16:00;16:52;17:22;18:02;18:56
Rond-Point Malissol         ;5:50;    ;    ;6:46;8:23;9:33 ;10:50;11:33;11:55;12:11;     ;13:58;15:11;16:01;16:52;17:23;18:03;18:57
L'Abbaye                    ;5:51;    ;    ;6:47;8:24;9:34 ;10:51;11:34;11:56;12:12;     ;13:59;15:12;16:02;16:54;17:24;18:04;18:58
Frèrejean                   ;5:52;    ;    ;6:48;8:25;9:35 ;10:52;11:35;11:57;12:13;     ;14:00;15:13;16:03;16:55;17:25;18:05;18:59
Z.A de Montplaisir          ;5:52;    ;    ;6:48;8:25;9:35 ;10:52;11:35;11:57;12:13;     ;14:00;15:13;16:03;16:55;17:25;18:05;18:59
Champ de Course             ;5:52;    ;    ;6:49;8:26;9:36 ;10:53;11:36;11:58;12:14;     ;14:01;15:14;16:04;16:56;17:26;18:06;19:00
La Feyta                    ;5:53;6:10;    ;6:50;8:28;9:37 ;10:54;11:37;11:59;12:15;     ;14:02;15:15;16:05;16:57;17:27;18:07;19:01
Plan des Aures              ;5:54;6:11;    ;6:51;8:29;9:38 ;10:55;11:38;12:00;12:16;     ;14:03;15:16;16:06;16:58;17:28;18:08;19:02
Les Gentianes               ;5:55;6:12;    ;6:52;8:30;9:39 ;10:56;11:39;12:01;12:17;     ;14:04;15:17;16:07;16:59;17:29;18:09;19:03
Les Mésanges                ;5:56;6:13;    ;6:53;8:32;9:40 ;10:57;11:40;12:02;12:18;     ;14:05;15:18;16:08;17:00;17:30;18:10;19:04
Centre Pont-Evêque          ;5:57;6:14;    ;6:54;8:33;9:41 ;10:58;11:41;12:03;12:19;     ;14:06;15:19;16:09;17:01;17:31;18:11;19:05
Les Bleuets                 ;5:58;6:15;    ;6:55;8:34;9:42 ;10:59;11:42;12:04;12:20;     ;14:07;15:20;16:10;17:02;17:32;18:12;19:06
Les Forges                  ;5:59;6:15;    ;6:55;8:34;9:42 ;10:59;11:42;12:04;12:20;     ;14:07;15:20;16:10;17:02;17:32;18:12;19:06
La Véga                     ;6:00;6:16;    ;6:56;8:35;9:43 ;11:00;11:43;12:05;12:21;     ;14:08;15:21;16:11;17:03;17:33;18:13;19:07
