Estressin Centre Commercial ;    ;    ;    ;    ;    ;    ;    ;9:22 ;10:30;11:40;12:28;13:01;     ;     ;     ;17:48;     ;18:20;     ;19:52
Estressin Z.I.              ;    ;6:28;    ;7:23;7:50;    ;    ;9:23 ;10:31;11:41;12:29;13:02;     ;     ;     ;17:51;     ;18:21;     ;19:53
Claude Bernard              ;    ;6:29;    ;7:24;7:51;    ;    ;9:24 ;10:32;11:42;12:30;13:03;     ;     ;     ;17:52;     ;18:22;     ;19:54
Savoie                      ;    ;6:29;    ;7:24;7:51;    ;    ;9:24 ;10:32;11:42;12:30;13:03;     ;     ;     ;17:52;     ;18:22;     ;19:54
Centre Social               ;    ;6:30;    ;7:25;7:52;    ;    ;9:25 ;10:33;11:43;12:31;13:04;     ;     ;     ;17:53;     ;18:23;     ;19:55
Pierre et Marie Curie       ;    ;6:30;    ;7:25;7:52;    ;    ;9:25 ;10:33;11:43;12:31;13:04;     ;     ;     ;17:53;     ;18:23;     ;19:55
Cité Jardin                 ;    ;6:31;    ;7:26;7:53;    ;    ;9:26 ;10:34;11:44;12:32;13:05;     ;     ;     ;17:54;     ;18:24;     ;19:56
Gare d'Estressin            ;    ;6:31;    ;7:27;7:54;    ;    ;9:27 ;10:35;11:45;12:33;13:06;     ;     ;     ;17:55;     ;18:25;     ;19:57
Port au Prince              ;    ;6:32;    ;7:28;7:55;    ;    ;9:28 ;10:36;11:46;12:34;13:07;     ;     ;     ;17:56;     ;18:26;     ;19:58
Étienne Rey                 ;    ;6:32;    ;7:28;7:55;    ;    ;9:28 ;10:36;11:46;12:34;13:07;     ;     ;     ;17:56;     ;18:26;     ;19:58
Pasteur                     ;    ;6:33;    ;7:29;7:56;    ;    ;9:29 ;10:37;11:47;12:35;13:08;     ;     ;     ;17:57;     ;18:27;     ;19:59
Jeu de Paume                ;    ;6:37;    ;7:35;8:01;    ;    ;9:34 ;10:42;11:52;12:40;13:13;     ;     ;     ;18:02;     ;18:32;     ;20:04
Jardin de Ville             ;    ;6:39;    ;7:37;8:03;    ;    ;9:36 ;10:44;11:54;12:42;13:15;     ;     ;     ;18:04;     ;18:34;     ;20:05
Gare de Vienne D            ;    ;6:44;    ;7:49;8:09;    ;    ;9:42 ;10:50;12:00;12:48;13:21;     ;     ;     ;18:08;     ;18:40;     ;20:12
Gare de Vienne A            ;6:15;    ;6:40;    ;8:13;    ;8:54;9:45 ;10:52;12:05;12:50;     ;15:12;16:07;17:10;     ;18:10;18:45;19:26;20:15
Temple de Cybèle            ;6:16;    ;6:50;    ;8:14;    ;8:55;9:46 ;10:53;12:06;12:51;     ;15:13;16:08;17:13;     ;18:11;18:48;19:27;20:16
