Estressin Centre Commercial ;9:48 ;11:24;     ;13:39;15:34;18:29
Estressin Z.I               ;9:50 ;11:26;     ;13:41;15:36;18:31
Claude Bernard              ;9:51 ;11:27;     ;13:42;15:37;18:32
Savoie                      ;9:51 ;11:27;     ;13:42;15:37;18:32
Centre Social               ;9:52 ;11:28;     ;13:43;15:38;18:33
Pierre et Marie Curie       ;9:52 ;11:28;     ;13:43;15:38;18:33
Cité Jardin                 ;9:53 ;11:29;     ;13:44;15:39;18:34
Gare d'Estressin            ;9:54 ;11:30;     ;13:45;15:40;18:35
Port au prince              ;9:55 ;11:31;     ;13:46;15:41;18:36
Etienne Ray                 ;9:55 ;11:31;     ;13:46;15:41;18:36
Pasteur                     ;9:56 ;11:32;     ;13:47;15:42;18:37
Jeu de Paume                ;10:00;11:36;     ;13:51;15:45;18:41
Jardin de la Ville          ;10:03;11:39;     ;13:55;15:49;18:44
Gare de Vienne D            ;10:05;11:41;     ;13:57;15:51;18:46
Gare de Vienne A            ;10:10;11:43;13:09;14:00;15:55;18:48
Temple de Cybèle            ;10:11;11:44;13:10;14:01;15:56;18:49
Nicolas Chorier             ;10:12;11:45;13:11;14:02;15:57;18:50
La Ravat                    ;10:14;11:47;13:13;14:04;15:59;18:52
Charlemangne                ;10:14;11:47;13:13;14:04;15:59;18:52
Roncevaux                   ;10:15;11:48;13:14;14:05;16:00;18:53
La Véga                     ;10:18;11:51;13:17;14:08;16:03;18:56
Les Forges                  ;10:19;11:52;13:18;14:09;16:04;18:57
Les Bleuets                 ;10:20;11:53;13:19;14:10;16:06;18:58
Centre de Pont-Evêque       ;10:21;11:54;13:20;14:11;16:06;18:59
Les Mésanges                ;10:22;11:55;13:21;14:12;16:07;19:00
Les Gentianes               ;10:23;11:56;13:22;14:13;16:08;19:01
Plan des Aures              ;10:24;11:57;13:23;14:14;16:09;19:02
La Feyta                    ;10:25;11:58;13:24;14:15;16:10;19:03
Champ de Course             ;10:26;11:59;13:25;14:16;16:11;19:04
Z.A de Montplaisir          ;10:27;12:00;13:26;14:17;16:12;19:05
Fréréjean                   ;10:27;12:00;13:26;14:17;16:12;19:05
L'Abbaye                    ;10:28;12:01;13:27;14:18;16:13;19:06
Rond-Point Malissol         ;10:29;12:02;13:27;14:18;16:13;19:06
Les Cèdres                  ;10:30;12:03;13:28;14:19;16:14;19:07
L'Horloge                   ;10:31;12:04;13:29;14:20;16:15;19:08
Malissol la Ferme           ;10:31;12:04;13:29;14:20;16:15;19:08
Les Hammeaux de Malissol    ;10:31;12:04;13:29;14:20;16:15;19:08
Malissol Victor Hugo        ;10:32;12:05;13:30;14:21;16:16;19:09
Stade de Malissol           ;10:33;12:06;13:31;14:22;16:17;19:10
