Estressin Centre Commercial ;    ;    ;    ;    ;    ;8:29;9:22 ;10:30;11:40;     ;     ;     ;     ;12:28;13:01;13:45;14:50;     ;     ;     ;     ;     ;     ;     ;17:48;     ;18:20;19:02;19:52
Estressin Z.I               ;    ;6:28;7:23;    ;7:50;8:30;9:23 ;10:31;11:41;     ;     ;     ;     ;12:29;13:02;13:46;14:51;     ;     ;     ;     ;     ;     ;     ;17:49;     ;18:21;19:03;19:53
Claude Bernard              ;    ;6:29;7:24;    ;7:51;8:31;9:24 ;10:32;11:42;     ;     ;     ;     ;12:30;13:03;13:47;14:52;     ;     ;     ;     ;     ;     ;     ;17:50;     ;18:22;19:04;19:54
Savoie                      ;    ;6:29;7:24;    ;7:51;8:31;9:24 ;10:32;11:42;     ;     ;     ;     ;12:30;13:03;13:47;14:52;     ;     ;     ;     ;     ;     ;     ;17:50;     ;18:22;19:04;19:54
Centre Social               ;    ;6:30;7:25;    ;7:52;8:32;9:25 ;10:33;11:43;     ;     ;     ;     ;12:31;13:04;13:48;14:53;     ;     ;     ;     ;     ;     ;     ;17:51;     ;18:23;19:05;19:55
Pierre et Marie Curie       ;    ;6:30;7:25;    ;7:52;8:33;9:25 ;10:33;11:43;     ;     ;     ;     ;12:31;13:04;13:48;14:53;     ;     ;     ;     ;     ;     ;     ;17:51;     ;18:24;19:05;19:55
Cité Jardin                 ;    ;6:31;7:26;    ;7:53;8:34;9:26 ;10:34;11:44;     ;     ;     ;     ;12:32;13:05;13:49;14:54;     ;     ;     ;     ;     ;     ;     ;17:52;     ;18:25;19:06;19:56
Gare d'Estressin            ;    ;6:31;7:27;    ;7:54;8:35;9:27 ;10:35;11:45;     ;     ;     ;     ;12:33;13:06;13:50;14:55;     ;     ;     ;     ;     ;     ;     ;17:53;     ;18:26;19:07;19:57
Port au prince              ;    ;6:32;7:28;    ;7:55;8:36;9:28 ;10:36;11:46;     ;     ;     ;     ;12:34;13:07;13:51;14:56;     ;     ;     ;     ;     ;     ;     ;17:54;     ;18:27;19:08;19:58
Etienne Ray                 ;    ;6:32;7:28;    ;7:55;8:36;9:28 ;10:36;11:46;     ;     ;     ;     ;12:34;13:07;13:51;14:56;     ;     ;     ;     ;     ;     ;     ;17:54;     ;18:27;19:08;19:58
Pasteur                     ;    ;6:33;7:29;    ;7:56;8:37;9:29 ;10:37;11:47;     ;     ;     ;     ;12:35;13:08;13:52;14:57;     ;     ;     ;     ;     ;     ;     ;17:55;     ;18:28;19:09;19:59
Lycée E.Fitzgerald          ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;12:05;12:05;12:10;     ;     ;     ;     ;     ;     ;16:02;     ;17:03;     ;18:00;     ;     ;     ;     ;
Jeu de Paume                ;    ;6:37;7:35;    ;8:01;8:42;9:34 ;10:42;11:52;     ;     ;     ;     ;12:40;13:13;13:57;15:02;     ;     ;16:06;     ;     ;     ;     ;18:01;     ;18:33;19:14;20:04
Jardin de la Ville          ;    ;6:39;7:37;    ;8:04;8:45;9:36 ;10:44;11:54;     ;     ;     ;     ;12:42;13:16;13:59;15:04;     ;     ;16:08;     ;     ;     ;     ;18:04;     ;18:35;19:16;20:06
Gare de Vienne D            ;    ;6:44;7:48;    ;8:11;8:52;9:42 ;10:50;12:00;     ;     ;     ;     ;12:45;13:21;14:04;15:10;     ;     ;16:13;     ;     ;     ;     ;18:15;     ;18:43;19:22;20:12
Gare de Vienne A            ;6:15;6:47;    ;7:50;8:13;8:54;9:45 ;10:52;12:04;     ;     ;     ;     ;12:50;13:23;14:07;     ;15:12;16:07;16:15;16:18;     ;17:10;     ;     ;18:10;18:45;19:26;20:15
Temple de Cybèle            ;6:16;6:48;    ;7:53;8:16;8:55;9:46 ;10:53;12:06;     ;     ;     ;     ;12:53;13:26;14:10;     ;15:13;16:08;16:16;16:19;     ;17:13;     ;     ;18:11;18:48;19:27;20:16
Nicolas Chorier             ;6:17;6:49;    ;7:55;8:18;8:56;9:47 ;10:54;12:08;12:10;12;13;     ;     ;12:52;13:27;14:11;     ;15:14;16:09;16:17;16:20;     ;17:15;     ;     ;18:12;18:49;19:28;20:17
Les Hammeaux de Malissol    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;12:17;     ;     ;     ;     ;     ;     ;     ;16:23;     ;17:15;     ;18:12;     ;     ;     ;     ;
La Ravat                    ;6:18;6:50;    ;7:57;8:20;8:57;9:48 ;10:55;12:09;     ;     ;12:19;12:17;12:56;13:29;14:13;     ;15:15;16:10;16:25;16:21;17:17;17:17;18:14;     ;18:13;18:50;19:29;20:18
Charlemangne                ;6:19;6:51;    ;7:58;8:21;8:58;9:49 ;10:56;12:10;     ;     ;12:21;12:20;12:57;13:30;14:14;     ;15:16;16:11;16:27;16:22;17:19;17:18;18:16;     ;18:14;18:51;19:30;20:19
Roncevaux                   ;6:20;6:52;    ;7:59;8:22;8:59;9:50 ;10:57;12:11;     ;     ;12:22;12:21;12:58;13:31;14:15;     ;15:17;16:12;16:28;16:23;17:20;17:19;18:17;     ;18:15;18:52;19:31;20:20
La Véga                     ;6:22;6:54;    ;8:00;8:23;9:01;9:52 ;10:59;12:13;     ;     ;12:23;12:22;12:59;13:32;14:16;     ;15:19;16:14;16:30;16:25;17:22;17:20;18:18;     ;18:17;18:54;19:33;20:22
Les Forges                  ;6:23;6:55;    ;8:01;8:24;9:02;9:53 ;11:00;12:14;     ;     ;12:24;12:23;13:00;13:33;14:17;     ;15:20;16:15;16:30;16:26;17:23;17:21;18:19;     ;18:18;18:55;19:34;20:23
Les Bleuets                 ;6:24;6:56;    ;8:01;8:24;9:03;9:54 ;11:01;12:15;     ;     ;12:24;12:23;13:00;13:33;14:17;     ;15:21;16:16;16:31;16:27;17:24;17:21;18:19;     ;18:19;18:56;19:35;20:24
Centre de Pont-Evêque       ;6:25;6:57;    ;8:02;8:25;9:04;9:55 ;11:02;12:16;     ;     ;12:25;12:24;13:01;13:34;14:18;     ;15:22;16:17;16:31;16:28;17:25;17:22;18:20;     ;18:20;18:57;19:36;20:25
Les Mésanges                ;6:26;6:58;    ;8:03;8:26;9:05;9:56 ;11:03;12:17;     ;     ;12:26;12:25;13:02;13:35;14:19;     ;15:23;16:18;16:32;16:29;17:26;17:23;18:21;     ;18:21;18:58;19:37;20:26
Les Gentianes               ;6:26;6:58;    ;8:04;8:27;9:05;9:56 ;11:03;12:17;     ;     ;12:27;12:26;13:03;13:36;14:20;     ;15:24;16:18;16:33;16:29;17:26;17:24;18:22;     ;18:21;18:58;19:37;20:26
Plan des Aures              ;6:27;6:59;    ;8:05;8:28;9:06;9:57 ;11:04;12:18;     ;     ;12:28;12:27;13:04;13:37;14:21;     ;15:25;16:19;16:34;16:30;17:27;17:25;18:23;     ;18:22;18:59;19:38;20:27
La Feyta                    ;6:28;7:00;    ;8:06;8:29;9:07;9:58 ;11:05;12:19;     ;     ;12:29;12:28;13:05;13:38;14:22;     ;15:26;16:20;16:35;16:31;17:28;17:26;18:24;     ;18:23;19:00;19:39;20:28
Champ de Course             ;6:29;7:01;    ;8:07;8:30;9:08;9:59 ;11:06;12:20;     ;     ;12:30;12:29;13:06;13:39;14:23;     ;15:26;16:21;16:36;16:32;17:29;17:27;18:25;     ;18:24;19:01;19:40;20:29
Z.A de Montplaisir          ;6:29;7:01;    ;8:07;8:30;9:08;9:59 ;11:06;12:20;     ;     ;12:30;12:29;13:06;13:39;14:23;     ;15:27;16:21;16:36;16:32;17:29;17:27;18:25;     ;18:24;19:01;19:40;20:29
Fréréjean                   ;6:30;7:02;    ;8:07;8:31;9:09;10:00;11:07;12:21;     ;     ;12:31;12:30;13:06;13:39;14:23;     ;15:28;16:22;16:36;16:33;17:30;17:27;18:26;     ;18:25;19:02;19:41;20:30
L'Abbaye                    ;6:31;7:03;    ;8:08;8:32;9:10;10:01;11:08;12:22;     ;     ;12:31;12:30;13:07;13:40;14:24;     ;15:28;16:23;16:37;16:34;17:31;17:28;18:26;     ;18:26;19:03;19:42;20:31
Rond-Point Malissol         ;6:31;7:03;    ;8:09;8:35;9:10;10:01;11:08;12:22;     ;     ;12:32;12:31;13:08;13:41;14:25;     ;15:30;16:23;16:38;16:34;17:31;17:29;18:27;     ;18:26;19:03;19:42;20:31
Les Cèdres                  ;6:33;7:05;    ;8:10;8:36;9:12;10:03;11:10;12:24;12:15;     ;12:33;12:32;13:09;13:42;14:26;     ;15:31;16:25;16:39;16:36;17:33;17:30;18:28;     ;18:28;19:05;19:44;20:33
L'Horloge                   ;6:34;7:06;    ;8:11;8:37;9:13;10:04;11:11;12:25;12:16;     ;12:34;12:33;13:10;13:43;14:27;     ;15:31;16:26;16:40;16:37;17:34;17:31;18:29;     ;18:29;19:06;19:45;20:34
Malissol la Ferme           ;6:34;7:06;    ;8:11;8:37;9:13;10:04;11:11;12:25;12:17;     ;12:34;12:33;13:10;13:43;14:27;     ;15:31;16:26;16:40;16:37;17:34;17:31;18:29;     ;18:29;19:06;19:45;20:34
Les Hammeaux de Malissol    ;6:34;7:06;    ;8:11;8:39;9:13;10:04;11:11;12:25;12:17;     ;12:35;12:34;13:10;13:43;14:27;     ;15:31;16:26;16:40;16:37;17:35;17:31;18:30;     ;18:29;19:06;19:45;20:34
Malissol Victor Hugo        ;6:35;7:07;    ;8:12;8:42;9:14;10:05;11:12;12:26;12:18;     ;12:35;12:34;13:11;13:44;14:28;     ;15:32;16:27;16:41;16:38;17:37;17:32;18:30;     ;18:30;19:07;19:46;20:35
Stade de Malissol           ;6:39;7:11;    ;8:20;8:46;9:18;10:09;11:16;12:32;12:19;12:25;12:36;12:35;13:16;13:49;14:33;     ;15:39;16:34;16:42;16:45;17:39;17:42;18:31;     ;18:37;19:11;19:50;20:39
