Gare de Vienne       ;6:08;6:46;7:01;7:34;8:08;8:50;9:10;9:40;10:40;11:10;11:40;12:10;12:40;13:00;13:40;14:10;15:10;15:40;16:10;16:40;17:05;17:27;17:56;18:12;18:40;19:09
Jardin de Ville      ;6:09;6:47;7:02;7:36;8:10;8:51;9:11;9:41;10:41;11:11;11:41;12:12;12:41;13:01;13:41;14:11;15:11;15:41;16:11;16:41;17:07;17:29;17:58;18:13;18:41;19:10
Saint Maurice        ;6:11;6:49;7:04;7:40;8:13;8:53;9:13;9:43;10:43;11:13;11:43;12:14;12:43;13:03;13:43;14:13;15:13;15:43;16:13;16:43;17:10;17:32;18:01;18:15;18:43;19:12
Jeu de Paume         ;6:12;6:51;7:06;7:43;8:16;8:55;9:15;9:45;10:45;11:15;11:45;12:16;12:45;13:05;13:45;14:15;15:15;15:45;16:15;16:45;17:13;17:35;18:04;18:17;18:44;19:13
Cuvière              ;6:14;6:53;7:08;7:45;8:18;8:57;9:17;9:47;10:47;11:17;11:47;12:18;12:47;13:07;13:47;14:17;15:17;15:47;16:17;16:47;17:15;17:37;18:06;18:19;18:46;19:15
Place Drapière       ;6:15;6:54;7:09;7:46;8:19;8:58;9:18;9:48;10:48;11:18;11:48;12:19;12:48;13:08;13:48;14:18;15:18;15:48;16:18;16:48;17:16;17:38;18:07;18:20;18:47;19:16
École Maupas         ;6:15;6:54;7:09;7:47;8:20;8:58;9:18;9:48;10:48;11:18;11:48;12:20;12:48;13:08;13:48;14:18;15:18;15:48;16:18;16:48;17:17;17:39;18:08;18:20;18:47;19:16
Boulevard Maupas     ;6:16;6:55;7:10;7:47;8:20;8:59;9:19;9:49;10:49;11:19;11:49;12:20;12:49;13:09;13:49;14:19;15:19;15:49;16:19;16:49;17:17;17:39;18:08;18:21;18:48;19:17
Maison d'Enfants     ;6:16;6:55;7:10;7:48;8:21;8:59;9:19;9:49;10:49;11:19;11:49;12:21;12:49;13:09;13:49;14:19;15:19;15:49;16:19;16:49;17:18;17:40;18:09;18:21;18:48;19:17
Hameau Guillemottes  ;6:17;6:56;7:11;7:48;8:21;9:00;9:20;9:50;10:50;11:20;11:50;12:21;12:50;13:10;13:50;14:20;15:20;15:50;16:20;16:50;17:18;17:40;18:09;18:22;18:49;19:18
Guillemottes         ;6:17;6:56;7:11;7:49;8:22;9:00;9:20;9:50;10:50;11:20;11:50;12:22;12:50;13:10;13:50;14:20;15:20;15:50;16:20;16:50;17:19;17:41;18:10;18:22;18:49;19:18
Mont Salomon         ;6:18;6:57;7:12;7:50;8:23;9:01;9:21;9:51;10:51;11:21;11:51;12:23;12:51;13:11;13:51;14:21;15:21;15:51;16:21;16:51;17:20;17:42;18:11;18:23;18:50;19:19
Hôpital L. Hussel    ;6:19;6:58;7:13;7:51;8:24;9:02;9:22;9:52;10:52;11:22;11:52;12:24;12:52;13:12;13:52;14:22;15:22;15:52;16:22;16:52;17:21;17:43;18:12;18:24;18:51;19:20
Hôpital-Gérontologie ;6:24;7:04;7:19;7:55;8:28;9:08;9:28;9:58;10:58;11:28;11:58;12:28;12:58;13:18;13:58;14:28;15:28;15:58;16:28;16:58;17:25;17:47;18:16;18:30;18:56;19:25
