Hôpital-Gérontologie ;6:25;7:05;7:21;7:59;8:31;9:11;9:35;10:05;11:05;11:35;12:05;12:35;13:05;13:35;14:10;14:40;15:33;16:05;16:33;17:00;17:30;17:49;18:18;19:09
Hôpital L. Hussel    ;6:27;7:07;7:23;8:01;8:33;9:13;9:37;10:07;11:07;11:37;12:07;12:37;13:07;13:37;14:12;14:42;15:35;16:07;16:35;17:02;17:32;17:51;18:20;19:11
IME la Bâtie         ;6:27;7:08;7:24;8:02;8:34;9:14;9:38;10:08;11:08;11:38;12:08;12:38;13:08;13:38;14:13;14:43;15:36;16:08;16:36;17:03;17:33;17:52;18:21;19:12
Mont Salomon         ;6:28;7:08;7:24;8:02;8:34;9:14;9:38;10:08;11:08;11:38;12:08;12:38;13:08;13:38;14:13;14:43;15:36;16:08;16:36;17:03;17:33;17:52;18:21;19:12
Guillemottes         ;6:28;7:09;7:25;8:03;8:35;9:15;9:39;10:09;11:09;11:39;12:09;12:39;13:09;13:39;14:14;14:44;15:37;16:09;16:37;17:04;17:34;17:53;18:22;19:13
Hameau Guillemottes  ;6:28;7:10;7:25;8:03;8:36;9:16;9:40;10:10;11:10;11:40;12:10;12:40;13:10;13:40;14:15;14:45;15:38;16:10;16:37;17:04;17:35;17:54;18:23;19:14
Maison d'Enfants     ;6:29;7:10;7:26;8:04;8:36;9:16;9:40;10:10;11:10;11:40;12:10;12:40;13:10;13:40;14:15;14:45;15:38;16:10;16:38;17:05;17:35;17:54;18:23;19:14
Boulevard Maupas     ;6:30;7:11;7:27;8:05;8:37;9:17;9:41;10:11;11:11;11:41;12:11;12:41;13:11;13:41;14:16;14:46;15:39;16:11;16:39;17:06;17:36;17:55;18:24;19:15
École Maupas         ;6:30;7:12;7:27;8:05;8:38;9:18;9:42;10:12;11:12;11:42;12:12;12:42;13:12;13:42;14:17;14:47;15:40;16:12;16:39;17:06;17:37;17:56;18:25;19:16
Place Drapière       ;6:31;7:13;7:28;8:06;8:39;9:19;9:43;10:13;11:13;11:43;12:13;12:43;13:13;13:43;14:18;14:48;15:41;16:13;16:40;17:07;17:38;17:57;18:26;19:17
Cuvière              ;6:32;7:14;7:30;8:08;8:40;9:20;9:44;10:14;11:14;11:44;12:14;12:44;13:14;13:44;14:19;14:49;15:42;16:14;16:42;17:09;17:39;17:58;18:27;19:18
Jeu de Paume         ;6:34;7:17;7:35;8:13;8:43;9:23;9:47;10:17;11:17;11:47;12:17;12:47;13:17;13:47;14:22;14:52;15:45;16:17;16:47;17:14;17:42;18:01;18:30;19:21
Jardin de Ville      ;6:36;7:19;7:38;8:15;8:45;9:25;9:49;10:19;11:19;11:49;12:19;12:49;13:19;13:49;14:24;14:54;15:47;16:19;16:49;17:16;17:44;18:03;18:32;19:23
Gare de Vienne       ;6:41;7:23;7:49;8:25;8:51;9:29;9:53;10:23;11:23;11:53;12:23;12:53;13:23;13:55;14:30;15:00;15:53;16:25;16:59;17:25;17:50;18:07;18:36;19:27
