Gare de Vienne   ;7:13;8:30;9:03;10:05;10:55;11:40;12:22;13:16;14:02;14:50;15:35;16:37;17:15;18:20;19:20;20:15
Jardin de Ville  ;7:16;8:32;9:05;10:07;10:57;11:42;12:24;13:18;14:04;14:52;15:37;16:39;17:18;18:22;19:22;20:17
Saint Maurice    ;7:19;8:34;9:07;10:09;10:59;11:44;12:26;13:20;14:06;14:54;15:39;16:41;17:21;18:24;19:24;20:19
Jeu de Paume     ;7:21;8:35;9:08;10:10;11:00;11:45;12:27;13:21;14:07;14:55;15:40;16:42;17:23;18:25;19:25;20:20
Cuvière          ;7:23;8:37;9:10;10:12;11:02;11:47;12:30;13:23;14:09;14:57;15:42;16:44;17:25;18:27;19:27;20:22
Place Drapière   ;7:24;8:38;9:11;10:13;11:03;11:48;12:31;13:24;14:10;14:58;15:43;16:45;17:26;18:28;19:28;20:23
Rabelais         ;7:25;8:39;9:11;10:13;11:03;11:49;12:32;13:25;14:11;14:59;15:44;16:46;17:27;18:29;19:29;20:24
Victor Faugier   ;7:26;8:40;9:12;10:14;11:04;11:50;12:33;13:26;14:12;15:00;15:45;16:47;17:28;18:30;19:30;20:25
L. Revol         ;7:27;8:41;9:13;10:15;11:05;11:51;12:34;13:27;14:13;15:01;15:46;16:48;17:29;18:31;19:31;20:26
Lafayette        ;7:28;8:42;9:13;10:15;11:05;11:52;12:35;13:28;14:14;15:02;15:47;16:49;17:30;18:32;19:32;20:27
Comte Rolland    ;7:30;8:44;9:15;10:17;11:07;11:54;12:37;13:30;14:16;15:04;15:49;16:51;17:31;18:34;19:33;20:28
Le Pont          ;7:31;8:45;9:16;10:18;11:08;11:55;12:38;13:31;14:17;15:05;15:50;16:52;17:32;18:35;19:34;20:29
Rés. de Cancanne ;7:31;8:45;9:16;10:18;11:08;11:55;12:38;13:31;14:17;15:05;15:50;16:52;17:32;18:35;19:34;20:29
Cancanne         ;7:32;8:46;9:17;10:19;11:09;11:56;12:39;13:32;14:18;15:06;15:51;16:53;17:33;18:36;19:35;20:30
Les Tanneries    ;7:35;8:49;9:20;10:22;11:12;11:59;12:40;13:35;14:21;15:09;15:54;16:56;17:36;18:39;19:37;20:32
Le St-Georges    ;7:36;8:50;9:21;10:23;11:13;12:00;12:43;13:36;14:22;15:10;15:55;16:57;17:37;18:40;     ;
Les Genêts       ;7:37;8:50;9:21;10:23;11:13;12:00;12:46;13:36;14:22;15:10;15:55;16:58;17:38;18:40;     ;
Le St-Georges    ;7:37;    ;9:22;     ;     ;12:01;     ;13:37;     ;     ;15:56;16:59;     ;     ;     ;
Clair de Lune    ;7:38;    ;9:25;     ;     ;12:04;     ;13:40;     ;     ;15:59;17:02;     ;     ;19:38;20:33
La Revolée       ;7:38;    ;9:26;     ;     ;12:05;     ;13:41;     ;     ;16:00;17:03;     ;     ;19:39;20:34
Collège Brassens ;7:39;    ;9:27;     ;     ;12:06;     ;13:42;     ;     ;16:00;17:03;     ;     ;19:40;20:35
