Les Gentianes           ;    ;    ;    ;    ;7:05;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     
Plan des Aures          ;    ;    ;    ;    ;7:06;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;
Collège Brassens        ;    ;6:20;6:41;    ;7:07;7:51;    ;9:34 ;     ;     ;     ;12:10;     ;13:20;     ;     ;16:04;     ;17:09;     ;
La Revolée              ;    ;6:22;6:43;    ;7:07;7:53;    ;9:36 ;     ;     ;     ;12:12;     ;13:22;     ;     ;16:06;     ;17:11;     ;
Clair de Lune           ;    ;6:23;6:44;    ;7:08;7:54;    ;9:37 ;     ;     ;     ;12:13;     ;13:23;     ;     ;16:07;     ;17:12;     ;
Le St-Georges           ;    ;6:25;6:46;    ;7:10;7:56;    ;9:39 ;     ;     ;     ;12:15;     ;13:25;     ;     ;16:09;     ;17:14;     ;
Les Genêts              ;    ;6:26;6:47;7:00;7:11;7:57;8:55;9:40 ;10:29;11:16;11:55;12:16;12:50;13:26;14:24;15:13;16:10;16:45;17:15;17:41;18:48
Le St-Georges           ;    ;6:27;6:48;7:01;7:13;7:58;8:56;9:41 ;10:30;11:17;11:56;12:17;12:51;13:27;14:25;15:14;16:11;16:46;17:16;17:42;18:49
Les Tanneries           ;    ;6:28;6:49;7:02;7:15;7:59;8:57;9:42 ;10:31;11:18;11:57;12:18;12:52;13:28;14:26;15:15;16:12;16:47;17:17;17:43;18:50
Cancanne                ;    ;6:30;6:51;7:04;7:17;8:01;8:59;9:44 ;10:33;11:20;11:59;12:20;12:54;13:30;14:28;15:17;16:14;16:49;17:19;17:45;18:52
Rés. de Cancanne        ;    ;6:31;6:52;7:05;7:17;8:02;9:00;9:45 ;10:34;11:21;12:00;12:21;12:55;13:31;14:29;15:18;16:15;16:50;17:20;17:46;18:53
La Véga                 ;6:00;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;
Le Pont                 ;    ;6:31;6:52;7:05;7:18;8:02;9:00;9:45 ;10:34;11:21;12:00;12:21;12:55;13:31;14:29;15:18;16:15;16:50;17:20;17:46;18:53
Comte Rolland           ;6:01;6:32;6:53;7:06;7:18;8:03;9:01;9:46 ;10:35;11:22;12:01;12:22;12:56;13:32;14:30;15:19;16:16;16:51;17:21;17:47;18:54
Lafayette               ;6:02;6:34;6:55;7:08;7:19;8:05;9:03;9:48 ;10:37;11:24;12:03;12:24;12:58;13:34;14:32;15:21;16:18;16:53;17:23;17:49;18:56
L. Revol                ;6:02;6:35;6:56;7:09;7:19;8:06;9:04;9:49 ;10:38;11:25;12:04;12:25;12:59;13:35;14:33;15:22;16:19;16:54;17:24;17:50;18:57
Victor Faugier          ;6:03;6:36;6:57;7:10;7:20;8:07;9:05;9:50 ;10:39;11:26;12:05;12:26;13:00;13:36;14:34;15:23;16:20;16:55;17:25;17:51;18:58
Rabelais                ;6:04;6:36;6:57;7:10;7:21;8:07;9:05;9:50 ;10:39;11:26;12:05;12:26;13:00;13:36;14:34;15:23;16:20;16:55;17:25;17:51;18:58
Place Drapière          ;6:04;6:37;6:58;7:11;7:21;8:08;9:06;9:51 ;10:40;11:27;12:06;12:27;13:01;13:37;14:35;15:24;16:21;16:56;17:26;17:52;18:59
Cuvière                 ;6:05;6:38;6:59;7:12;7:24;8:10;9:07;9:52 ;10:41;11:28;12:07;12:28;13:02;13:38;14:36;15:25;16:22;16:57;17:28;17:54;19:01
Jeu de Paume            ;6:07;6:41;7:02;7:15;7:32;8:16;9:10;9:55 ;10:44;11:31;12:10;12:32;13:05;13:41;14:39;15:28;16:25;17:01;17:32;17:58;19:05
Lycée E.Fitzgerald      ;    ;    ;    ;    ;    ;    ;    ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;
Jardin de Ville         ;6:11;6:45;7:06;7:19;    ;8:21;9:14;9:59 ;10:48;11:35;12:14;12:37;13:09;13:45;14:43;15:32;16:29;17:06;17:37;18:03;19:09
Gare de Vienne          ;6:13;6:47;7:08;7:21;    ;8:23;9:16;10:01;10:50;11:37;12:16;12:39;13:11;13:47;14:45;15:34;16:31;17:08;17:39;18:05;19:11
