La Maladière                ;06:10;06:35;06:53;06:55;07:45;08:20;09:20;11:00;     ;12:25;15:25;16:00;16:30;16:30;16:55;17:30;     ;18:05;19:05
Centre Hospitalier          ;06:10;06:35;06:53;06:55;07:46;08:21;09:20;11:00;     ;12:25;15:25;16:00;16:30;16:30;16:55;17:30;     ;18:05;19:05
Salle de L’Arbuel           ;06:11;06:36;06:54;06:56;07:47;08:22;09:21;11:01;     ;12:26;15:26;16:01;16:31;16:31;16:56;17:31;     ;18:06;19:06
Centre                      ;06:12;06:37;06:55;06:57;07:48;08:23;09:22;11:02;12:25;12:27;15:27;16:02;16:32;16:32;16:35;16:57;17:32;18:07;19:07
Bassenon                    ;06:13;06:38;06:56;06:58;07:49;08:24;09:23;11:03;     ;12:28;15:28;16:03;16:33;16:33;16:36;16:58;17:33;18:08;19:08
Collége le Bassenon         ;     ;     ;     ;     ;     ;     ;     ;     ;12:27;12:29;15:29;     ;     ;16:34;16:37;     ;     ;     ;
TUPIN-ET-SEMONS Tupin       ;06:16;06:41;06:59;07:01;07:53;08:28;09:26;11:06;12:29;12:34;15:34;16:06;16:36;16:39;16:42;17:01;17:36;18:11;19:11
Le Goutay                   ;06:17;06:42;07:00;07:02;07:54;08:29;09:27;11:07;12:30;12:35;15:35;16:07;16:37;16:40;16:43;17:02;17:37;18:12;19:12
Place de L’Eglise           ;06:18;06:43;07:01;07:03;07:55;08:30;09:28;11:08;12:31;12:36;15:36;16:08;16:38;16:41;16:44;17:03;17:38;18:13;19:13
La Roche                    ;06:19;06:44;07:02;07:04;07:56;08:31;09:29;11:09;     ;12:37;15:37;16:09;16:39;16:42;16:45;17:04;17:39;18:14;19:14
Vérenay                     ;06:24;06:48;07:06;07:08;08:00;08:35;09:30;11:10;     ;12:38;15:38;16:10;16:43;16:46;16:49;17:08;17:43;18:18;19:15
Centre Nautique             ;06:28;06:52;07:15;07:17;08:03;08:38;09:32;11:12;     ;12:40;15:40;16:12;16:46;16:49;16:52;17:11;17:46;18:21;19:17
Trénel                      ;06:31;06:54;07:17;07:19;08:05;08:40;09:35;11:15;     ;12:43;15:43;16:15;16:49;16:52;16:55;17:14;17:49;18:24;19:20
Mairie                      ;06:32;06:54;07:17;07:19;08:05;08:40;09:36;11:16;     ;12:44;15:44;16:16;16:50;16:53;16:56;17:15;17:50;18:25;19:21
Ella Fitzgerald             ;     ;07:19;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;
Lycée Ella Fitzgerald RD386 ;06:33;     ;06:55;07:20;08:06;08:41;09:37;11:17;     ;12:45;15:45;16:17;16:51;16:54;16:57;17:16;17:51;18:26;19:22
Village                     ;06:34;     ;06:56;07:21;08:07;08:42;09:38;11:18;     ;12:46;15:46;16:18;16:52;16:55;16:58;17:17;17:52;18:27;19:23
Chemin de la Lone           ;06:35;     ;06:57;07:22;08:08;08:43;09:39;11:19;     ;12:47;15:47;16:19;16:53;16:56;16:59;17:18;17:53;18:28;19:24
Hameau Barlet               ;06:37;     ;07:00;07:25;08:11;08:46;09:41;11:21;     ;12:49;15:49;16:21;16:55;16:58;17:01;17:20;17:55;18:30;19:26
La Roche Moussy             ;06:41;     ;07:05;07:30;08:15;08:50;09:45;11:25;     ;12:53;15:53;16:25;16:59;17:02;17:05;17:24;17:59;18:34;19:30
Capas                       ;06:42;     ;07:05;07:30;08:16;08:51;09:46;11:26;     ;12:54;15:54;16:26;17:00;17:03;17:06;17:25;18:00;18:35;19:31
Place Libération            ;06:42;     ;07:06;07:31;08:16;08:51;09:46;11:26;     ;12:54;15:54;16:26;17:00;17:03;17:06;17:25;18:00;18:35;19:31
Gare Sncf                   ;06:43;     ;07:07;07:32;08:17;08:52;09:47;11:27;     ;12:55;15:55;16:27;17:01;17:04;17:07;17:26;18:01;18:36;19:32
Freyssinet Rd386            ;06:44;     ;07:09;07:34;08:18;08:53;09:47;11:27;     ;12:55;15:55;16:27;17:02;17:05;17:08;17:27;18:02;18:37;19:32
La Lone                     ;06:45;     ;07:12;07:37;08:21;08:56;09:49;11:29;     ;12:57;15:57;16:29;17:04;17:07;     ;17:29;18:04;18:39;19:34
Tour de Bans                ;06:46;     ;07:14;07:39;08:22;08:57;09:50;11:30;     ;12:58;15:58;16:30;17:05;17:08;     ;17:30;18:05;18:40;19:35
Port de Bief                ;06:48;     ;07:16;07:41;08:24;08:59;09:51;11:31;     ;12:59;15:59;16:31;17:06;17:09;     ;17:31;18:06;18:41;19:36
Place de la Liberté         ;06:49;     ;07:19;07:44;08:26;09:01;09:52;11:32;     ;13:00;16:00;16:32;17:08;17:11;     ;17:33;18:08;18:43;19:37
Gare de Givors-Ville        ;06:51;     ;07:24;07:49;08:31;09:03;09:54;11:34;     ;13:02;16:02;16:34;17:10;17:13;     ;17:35;18:10;18:45;19:39
