Gare de Givors-Ville  ;07:30;08:40;11:40;13:10;17:20;18:50
Place de la Liberté   ;07:37;08:47;11:42;13:12;17:22;18:52
Port de Bief          ;07:39;08:49;11:43;13:13;17:23;18:53
Tour de Bans          ;07:41;08:51;11:45;13:15;17:25;18:55
La Lone               ;07:42;08:52;11:45;13:15;17:25;18:55
Freyssinet Rd386      ;07:45;08:55;11:47;13:17;17:27;18:57
Gare Sncf             ;07:46;08:56;11:48;13:18;17:28;18:58
Place Libération      ;07:47;08:57;11:49;13:19;17:29;18:59
Capas                 ;07:47;08:57;11:49;13:19;17:29;18:59
La Roche Moussy       ;07:48;08:58;11:50;13:20;17:30;19:00
Hameau Barlet         ;07:52;09:02;11:54;13:24;17:34;19:04
Chemin de la Lone     ;07:54;09:04;11:56;13:26;17:37;19:07
Village               ;07:55;09:05;11:57;13:27;17:38;19:08
Lycée Ella Fitzgerald ;07:56;09:06;11:58;13:28;17:39;19:09
Mairie                ;07:57;09:07;11:59;13:29;17:40;19:10
Trénel                ;07:57;09:07;11:59;13:29;17:40;19:10
Centre Nautique       ;08:00;09:11;12:03;13:33;17:44;19:14
Vérenay               ;08:02;09:12;12:04;13:34;17:45;19:15
La Roche              ;08:05;09:14;12:06;13:36;17:47;19:17
Place de L’Eglise     ;08:06;09:14;12:06;13:36;17:47;19:17
Le Goutay             ;08:07;09:16;12:08;13:38;17:49;19:19
Tupin                 ;08:08;09:17;12:09;13:39;17:51;19:20
Bassenon              ;08:11;09:20;12:12;13:42;17:55;19:23
Centre                ;08:12;09:21;12:13;13:43;17:57;19:24
Salle de L’Arbuel     ;08:13;09:22;12:14;13:44;17:58;19:25
Centre Hospitalier    ;08:14;09:23;12:15;13:45;17:59;19:26
La Maladière          ;08:14;09:24;12:16;13:46;18:00;19:27
